"player","nation","pos","league","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Tyler Adams","USA","MF","Premier League","Bournemouth","25","28","21","1,965",21.8,"0","3","0","0","0","7","0","1.6","1.6","1.0","14","76"
"Tosin Adarabioyo","ENG","DF","Premier League","Chelsea","26","22","15","1,409",15.7,"1","1","1","0","0","4","0","0.9","0.9","0.2","5","42"
"Simon Adingra","CIV","FW,MF","Premier League","Brighton","22","29","12","1,097",12.2,"2","2","2","0","0","0","0","2.5","2.5","2.5","50","18"
"Emmanuel Agbadou","CIV","DF","Premier League","Wolves","27","16","16","1,410",15.7,"1","0","1","0","0","3","0","0.8","0.8","0.2","6","31"
"Ola Aina","NGA","DF","Premier League","Nott'ham Forest","27","35","35","2,995",33.3,"2","1","2","0","0","5","0","0.6","0.6","1.4","67","107"
"Rayan Aït-Nouri","ALG","DF","Premier League","Wolves","23","37","37","3,109",34.5,"4","7","4","0","0","7","1","2.7","2.7","5.5","89","108"
"Kristoffer Ajer","NOR","DF","Premier League","Brentford","26","24","17","1,438",16,"0","0","0","0","0","5","0","1.0","1.0","1.2","27","56"
"Manuel Akanji","SUI","DF","Premier League","Manchester City","29","26","23","2,014",22.4,"0","0","0","0","0","3","0","1.6","1.6","0.4","46","158"
"Nathan Aké","NED","DF","Premier League","Manchester City","29","10","8","678",7.5,"0","0","0","0","0","0","0","0.2","0.2","0.0","12","50"
"Carlos Alcaraz","ARG","FW,MF","Premier League","Everton","21","15","7","764",8.5,"2","3","2","0","0","4","0","1.7","1.7","1.6","19","42"
"Trent Alexander-Arnold","ENG","DF","Premier League","Liverpool","25","33","28","2,365",26.3,"3","6","3","0","0","5","0","1.9","1.9","7.3","51","232"
"Alisson","BRA","GK","Premier League","Liverpool","31","28","28","2,508",27.9,"0","0","0","0","0","0","0","0.0","0.0","0.6","0","1"
"Edson Álvarez","MEX","MF","Premier League","West Ham","26","28","20","1,772",19.7,"0","1","0","0","0","9","1","0.4","0.4","0.8","24","85"
"Joachim Andersen","DEN","DF","Premier League","Fulham","28","29","29","2,583",28.7,"0","0","0","0","0","6","1","1.0","1.0","0.5","16","112"
"Elliot Anderson","ENG","MF","Premier League","Nott'ham Forest","21","37","33","2,728",30.3,"2","6","2","0","0","10","0","2.1","2.1","3.3","52","143"
"André","BRA","MF","Premier League","Wolves","23","33","31","2,472",27.5,"0","0","0","0","0","7","0","0.4","0.4","0.8","10","109"
"Michail Antonio","JAM","FW","Premier League","West Ham","34","14","11","836",9.3,"1","1","1","0","0","1","0","2.2","2.2","1.6","29","18"
"Julian Araujo","MEX","DF","Premier League","Bournemouth","22","12","7","497",5.5,"0","0","0","0","0","2","0","0.0","0.0","0.1","4","14"
"Cameron Archer","ENG","FW","Premier League","Southampton","23","35","13","1,441",16,"2","0","2","0","1","0","0","5.7","4.9","0.5","22","14"
"Alphonse Areola","FRA","GK","Premier League","West Ham","31","26","25","2,260",25.1,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","1"
"Joe Aribo","NGA","MF,DF","Premier League","Southampton","28","32","21","2,013",22.4,"3","0","3","0","0","1","0","2.7","2.7","1.6","36","75"
"Adam Armstrong","ENG","FW,MF","Premier League","Southampton","27","20","15","1,248",13.9,"2","2","2","0","1","4","0","3.3","2.3","1.2","25","21"
"Kepa Arrizabalaga","ESP","GK","Premier League","Bournemouth","29","31","31","2,790",31,"0","0","0","0","0","3","0","0.1","0.1","0.0","0","2"
"Marco Asensio","ESP","MF","Premier League","Aston Villa","28","13","9","743",8.3,"3","1","3","0","2","2","0","4.4","2.9","1.0","22","45"
"Taiwo Awoniyi","NGA","FW","Premier League","Nott'ham Forest","26","26","3","416",4.6,"1","0","1","0","0","0","0","2.1","2.1","0.1","6","7"
"Yasin Ayari","SWE","MF","Premier League","Brighton","20","34","22","1,965",21.8,"2","1","2","0","0","3","0","2.4","2.4","2.3","30","75"
"Jordan Ayew","GHA","FW,MF","Premier League","Leicester City","32","30","19","1,638",18.2,"5","0","4","1","1","5","0","3.2","2.4","1.1","49","46"
"Leon Bailey","JAM","FW,MF","Premier League","Aston Villa","26","24","14","1,139",12.7,"1","2","1","0","0","3","0","1.7","1.7","1.5","58","35"
"Carlos Baleba","CMR","MF","Premier League","Brighton","20","34","31","2,661",29.6,"3","1","3","0","0","8","1","3.1","3.1","1.3","43","118"
"Ross Barkley","ENG","MF","Premier League","Aston Villa","30","20","3","581",6.5,"3","1","3","0","0","3","0","1.8","1.8","0.6","15","36"
"Harvey Barnes","ENG","FW","Premier League","Newcastle Utd","26","33","17","1,755",19.5,"9","4","9","0","0","0","0","7.2","7.2","4.0","93","83"
"Calvin Bassey","NGA","DF","Premier League","Fulham","24","35","34","3,074",34.2,"1","0","1","0","0","7","0","1.0","1.0","0.1","39","116"
"Jan Bednarek","POL","DF","Premier League","Southampton","28","30","30","2,531",28.1,"2","0","2","0","0","7","0","0.7","0.7","0.5","5","60"
"Jean-Ricner Bellegarde","FRA","MF,FW","Premier League","Wolves","26","35","20","1,677",18.6,"2","7","2","0","0","3","0","1.5","1.5","3.8","52","43"
"Rodrigo Bentancur","URU","MF","Premier League","Tottenham","27","26","21","1,645",18.3,"2","0","2","0","0","9","0","1.3","1.3","0.4","28","100"
"Sander Berge","NOR","MF","Premier League","Fulham","26","31","26","2,224",24.7,"0","0","0","0","0","6","0","0.4","0.4","0.6","29","124"
"Lucas Bergvall","SWE","MF","Premier League","Tottenham","18","27","11","1,212",13.5,"0","1","0","0","0","3","0","0.7","0.7","0.6","33","49"
"Victor Bernth Kristiansen","DEN","DF","Premier League","Leicester City","21","30","29","2,482",27.6,"0","1","0","0","0","1","0","0.3","0.3","1.4","40","70"
"Beto","GNB","FW","Premier League","Everton","26","30","15","1,534",17,"8","0","8","0","0","2","0","8.2","8.2","1.2","15","16"
"Yves Bissouma","MLI","MF","Premier League","Tottenham","27","28","16","1,408",15.6,"2","0","2","0","0","7","0","0.6","0.6","0.3","15","75"
"Lamare Bogarde","NED","DF,MF","Premier League","Aston Villa","20","8","5","476",5.3,"0","0","0","0","0","2","0","0.0","0.0","0.1","12","14"
"Sven Botman","NED","DF","Premier League","Newcastle Utd","24","8","6","412",4.6,"0","0","0","0","0","1","0","0.5","0.5","0.5","0","7"
"Jarrod Bowen","ENG","FW,MF","Premier League","West Ham","27","34","34","2,973",33,"13","8","12","1","1","1","0","8.6","7.8","6.8","109","91"
"Conor Bradley","NIR","DF","Premier League","Liverpool","21","19","7","754",8.4,"0","2","0","0","0","4","0","0.7","0.7","1.4","35","33"
"Jarrad Branthwaite","ENG","DF","Premier League","Everton","22","30","28","2,511",27.9,"0","1","0","0","0","4","0","1.2","1.2","0.7","10","66"
"James Bree","ENG","DF","Premier League","Southampton","26","17","13","1,075",11.9,"0","1","0","0","0","0","0","0.1","0.1","0.9","13","34"
"Ben Brereton","CHI","FW","Premier League","Southampton","25","10","4","449",5,"0","0","0","0","0","1","0","0.9","0.9","0.1","12","9"
"Nathan Broadhead","WAL","MF,FW","Premier League","Ipswich Town","26","18","7","702",7.8,"2","0","2","0","0","1","0","1.7","1.7","0.7","20","14"
"David Brooks","WAL","FW,MF","Premier League","Bournemouth","27","29","9","960",10.7,"2","0","2","0","0","3","0","2.5","2.5","1.9","35","35"
"Santiago Bueno","URU","DF","Premier League","Wolves","25","29","18","1,687",18.7,"0","0","0","0","0","2","0","0.4","0.4","0.0","1","28"
"Facundo Buonanotte","ARG","FW,MF","Premier League","Leicester City","19","31","14","1,523",16.9,"5","2","5","0","0","8","0","3.9","3.9","3.1","39","54"
"Cameron Burgess","AUS","DF","Premier League","Ipswich Town","28","18","16","1,541",17.1,"0","2","0","0","0","0","0","1.1","1.1","0.5","2","42"
"Dan Burn","ENG","DF","Premier League","Newcastle Utd","32","37","37","3,330",37,"1","1","1","0","0","11","0","2.0","2.0","0.9","12","75"
"Wes Burns","WAL","FW,DF","Premier League","Ipswich Town","29","18","12","926",10.3,"0","1","0","0","0","1","0","0.5","0.5","1.6","38","8"
"Moisés Caicedo","ECU","MF,DF","Premier League","Chelsea","22","38","38","3,351",37.2,"1","2","1","0","0","11","0","0.8","0.8","3.0","43","215"
"Tom Cairney","SCO","MF","Premier League","Fulham","33","25","3","628",7,"2","0","2","0","0","3","1","0.8","0.8","1.1","18","53"
"Jens Cajuste","SWE","MF","Premier League","Ipswich Town","24","30","25","1,959",21.8,"1","1","1","0","0","2","0","0.7","0.7","0.8","26","59"
"Riccardo Calafiori","ITA","DF","Premier League","Arsenal","22","19","11","983",10.9,"2","1","2","0","0","4","0","0.9","0.9","0.3","22","54"
"Dominic Calvert-Lewin","ENG","FW","Premier League","Everton","27","26","19","1,609",17.9,"3","1","3","0","0","2","0","6.7","6.7","0.6","23","20"
"Diego Carlos","BRA","DF","Premier League","Aston Villa","31","10","8","830",9.2,"0","0","0","0","0","1","0","0.6","0.6","0.0","3","34"
"Fabio Carvalho","POR","FW,MF","Premier League","Brentford","21","19","3","455",5.1,"2","1","2","0","0","1","0","2.5","2.5","0.7","9","17"
"Casemiro","BRA","MF","Premier League","Manchester Utd","32","24","18","1,494",16.6,"1","0","1","0","0","5","0","1.9","1.9","2.3","4","84"
"Matty Cash","POL","DF","Premier League","Aston Villa","26","27","24","2,070",23,"1","1","1","0","0","7","0","0.5","0.5","1.1","48","42"
"Timothy Castagne","BEL","DF","Premier League","Fulham","28","24","17","1,649",18.3,"0","1","0","0","0","1","0","0.4","0.4","1.2","17","62"
"Trevoh Chalobah","ENG","DF","Premier League","Crystal Palace","25","12","12","1,060",11.8,"3","0","3","0","0","1","0","1.2","1.2","0.4","11","34"
"Trevoh Chalobah","ENG","DF","Premier League","Chelsea","25","13","11","910",10.1,"0","1","0","0","0","2","0","0.8","0.8","1.2","4","37"
"Conor Chaplin","ENG","MF,FW","Premier League","Ipswich Town","27","22","10","857",9.5,"1","1","1","0","0","2","0","1.5","1.5","0.7","13","29"
"Ryan Christie","SCO","MF","Premier League","Bournemouth","29","29","27","2,117",23.5,"2","3","2","0","0","9","0","1.8","1.8","3.5","34","137"
"Jack Clarke","ENG","FW,MF","Premier League","Ipswich Town","23","32","12","1,181",13.1,"0","4","0","0","0","2","0","1.2","1.2","2.3","39","44"
"Nathaniel Clyne","ENG","DF,MF","Premier League","Crystal Palace","33","13","5","483",5.4,"0","0","0","0","0","1","0","0.0","0.0","0.3","6","7"
"Conor Coady","ENG","DF","Premier League","Leicester City","31","22","19","1,714",19,"1","0","1","0","0","3","0","0.4","0.4","0.1","3","32"
"Nathan Collins","IRL","DF","Premier League","Brentford","23","38","38","3,420",38,"2","3","2","0","0","5","0","2.5","2.5","1.8","32","127"
"Levi Colwill","ENG","DF","Premier League","Chelsea","21","35","35","3,149",35,"2","1","2","0","0","9","0","1.9","1.9","1.1","14","131"
"Lewis Cook","ENG","MF,DF","Premier League","Bournemouth","27","36","32","2,978",33.1,"1","3","1","0","0","8","1","0.9","0.9","4.1","33","158"
"Vladimír Coufal","CZE","DF","Premier League","West Ham","31","22","11","1,067",11.9,"0","0","0","0","0","5","0","0.3","0.3","0.7","26","39"
"Aaron Cresswell","ENG","DF","Premier League","West Ham","34","18","10","824",9.2,"0","0","0","0","0","3","0","0.2","0.2","1.3","6","36"
"Marc Cucurella","ESP","DF","Premier League","Chelsea","26","36","33","2,988",33.2,"5","1","5","0","0","10","1","2.8","2.8","2.1","35","118"
"Matheus Cunha","BRA","MF,FW","Premier League","Wolves","25","33","29","2,597",28.9,"15","6","15","0","0","4","0","8.6","8.6","7.7","112","144"
"Patson Daka","ZAM","FW,MF","Premier League","Leicester City","25","23","6","736",8.2,"1","0","1","0","0","0","0","1.3","1.3","0.1","11","8"
"Diogo Dalot","POR","DF","Premier League","Manchester Utd","25","33","31","2,814",31.3,"0","3","0","0","0","5","0","2.0","2.0","2.0","62","103"
"Mikkel Damsgaard","DEN","MF,FW","Premier League","Brentford","24","38","34","2,911",32.3,"2","10","2","0","0","2","0","2.8","2.8","8.4","73","234"
"Kevin Danso","AUT","DF","Premier League","Tottenham","25","10","9","842",9.4,"0","0","0","0","0","0","0","0.4","0.4","0.1","11","19"
"Ben Davies","WAL","DF","Premier League","Tottenham","31","17","14","1,331",14.8,"0","0","0","0","0","5","0","0.3","0.3","0.2","14","52"
"Leif Davis","ENG","DF","Premier League","Ipswich Town","24","33","32","2,743",30.5,"1","2","1","0","0","5","1","1.0","1.0","4.9","52","59"
"Craig Dawson","ENG","DF","Premier League","Wolves","34","15","10","971",10.8,"0","0","0","0","0","2","0","0.5","0.5","0.0","6","20"
"Kevin De Bruyne","BEL","MF,FW","Premier League","Manchester City","33","28","19","1,702",18.9,"4","7","4","0","0","2","0","5.1","5.1","8.0","51","157"
"Bobby De Cordova-Reid","JAM","FW","Premier League","Leicester City","31","23","9","744",8.3,"1","2","1","0","0","2","0","0.8","0.8","1.2","14","15"
"Liam Delap","ENG","FW","Premier League","Ipswich Town","21","37","32","2,593",28.8,"12","2","10","2","2","12","0","9.3","7.8","1.9","61","30"
"Sepp van den Berg","NED","DF","Premier League","Brentford","22","31","29","2,586",28.7,"0","0","0","0","0","3","0","2.0","2.0","0.8","12","79"
"Justin Devenny","NIR","MF","Premier League","Crystal Palace","20","23","4","507",5.6,"1","1","1","0","0","1","0","0.8","0.8","0.6","5","21"
"Amad Diallo","CIV","MF,FW","Premier League","Manchester Utd","22","26","20","1,901",21.1,"8","6","8","0","0","5","0","4.7","4.7","4.9","109","60"
"Rúben Dias","POR","DF","Premier League","Manchester City","27","27","25","2,271",25.2,"0","0","0","0","0","4","0","1.5","1.5","0.3","43","160"
"Luis Díaz","COL","FW","Premier League","Liverpool","27","36","28","2,399",26.7,"13","5","13","0","0","2","0","12.0","12.0","5.0","108","110"
"Tyler Dibling","ENG","FW,MF","Premier League","Southampton","18","33","20","1,874",20.8,"2","0","2","0","0","6","0","2.5","2.5","1.5","69","64"
"Lucas Digne","FRA","DF","Premier League","Aston Villa","31","32","28","2,351",26.1,"0","4","0","0","0","4","0","0.8","0.8","4.7","23","57"
"Issa Diop","FRA","DF","Premier League","Fulham","27","21","15","1,339",14.9,"0","0","0","0","0","2","0","0.5","0.5","0.1","6","25"
"Axel Disasi","FRA","DF","Premier League","Aston Villa","26","7","5","490",5.4,"0","0","0","0","0","2","0","0.1","0.1","0.4","10","16"
"Matt Doherty","IRL","DF","Premier League","Wolves","32","30","25","2,109",23.4,"2","1","2","0","0","6","0","1.0","1.0","1.5","29","79"
"Jeremy Doku","BEL","FW,MF","Premier League","Manchester City","22","29","16","1,516",16.8,"3","6","3","0","0","1","0","1.3","1.3","4.8","213","69"
"Nicolás Domínguez","ARG","MF,FW","Premier League","Nott'ham Forest","26","34","23","1,963",21.8,"0","1","0","0","0","9","0","1.5","1.5","1.3","16","83"
"Patrick Dorgu","DEN","DF","Premier League","Manchester Utd","19","12","10","842",9.4,"0","0","0","0","0","3","1","0.4","0.4","0.7","41","34"
"Abdoulaye Doucouré","MLI","MF","Premier League","Everton","31","33","31","2,564",28.5,"3","2","3","0","0","5","1","4.1","4.1","2.4","42","82"
"Cheick Doucouré","MLI","MF","Premier League","Crystal Palace","24","13","4","452",5,"0","0","0","0","0","1","0","0.4","0.4","0.0","2","19"
"Flynn Downes","ENG","MF","Premier League","Southampton","25","27","25","2,151",23.9,"1","0","1","0","0","12","0","0.6","0.6","1.1","29","66"
"Tommy Doyle","ENG","MF","Premier League","Wolves","22","24","3","488",5.4,"0","1","0","0","0","1","0","0.6","0.6","0.5","6","40"
"Radu Drăgușin","ROU","DF","Premier League","Tottenham","22","16","14","1,252",13.9,"0","0","0","0","0","1","0","0.1","0.1","0.4","7","37"
"Martin Dúbravka","SVK","GK","Premier League","Newcastle Utd","35","10","10","900",10,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Lewis Dunk","ENG","DF","Premier League","Brighton","32","25","23","2,083",23.1,"0","0","0","0","0","5","0","0.8","0.8","0.5","20","142"
"Jáder Durán","COL","FW","Premier League","Aston Villa","20","20","4","638",7.1,"7","0","7","0","0","3","1","4.9","4.9","0.2","7","13"
"Ederson","BRA","GK","Premier League","Manchester City","30","26","26","2,320",25.8,"0","4","0","0","0","4","0","0.0","0.0","1.5","0","2"
"Anthony Elanga","SWE","FW,MF","Premier League","Nott'ham Forest","22","38","31","2,501",27.8,"6","11","6","0","0","1","0","4.5","4.5","5.7","102","63"
"Julio Enciso","PAR","MF,FW","Premier League","Ipswich Town","20","13","12","869",9.7,"2","3","2","0","0","3","0","1.7","1.7","1.4","23","28"
"Christian Eriksen","DEN","MF","Premier League","Manchester Utd","32","23","11","1,061",11.8,"1","2","0","1","1","4","0","1.4","0.6","3.2","13","55"
"Pervis Estupiñán","ECU","DF","Premier League","Brighton","26","30","26","2,402",26.7,"1","1","1","0","0","5","0","1.2","1.2","2.1","59","132"
"Evanilson","BRA","FW","Premier League","Bournemouth","24","31","28","2,319",25.8,"10","1","10","0","1","1","1","12.5","11.7","1.9","29","28"
"Eberechi Eze","ENG","MF,FW","Premier League","Crystal Palace","26","34","31","2,588",28.8,"8","8","7","1","2","1","0","10.5","8.9","6.2","69","97"
"Łukasz Fabiański","POL","GK","Premier League","West Ham","39","14","13","1,160",12.9,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","0"
"Wout Faes","BEL","DF","Premier League","Leicester City","26","34","30","2,815",31.3,"1","0","1","0","0","4","0","1.5","1.5","0.1","12","86"
"Abdul Fatawu Issahaku","GHA","FW","Premier League","Leicester City","20","11","6","579",6.4,"0","2","0","0","0","0","0","0.4","0.4","1.6","42","17"
"Bruno Fernandes","POR","MF","Premier League","Manchester Utd","29","36","35","3,018",33.5,"8","10","5","3","3","5","2","9.9","7.6","8.5","77","325"
"Mateus Fernandes","POR","MF","Premier League","Southampton","20","36","34","2,909",32.3,"2","4","2","0","0","8","0","4.0","4.0","3.0","76","145"
"Enzo Fernández","ARG","MF","Premier League","Chelsea","23","36","32","2,947",32.7,"6","7","6","0","0","8","0","6.1","6.1","6.8","60","212"
"Mark Flekken","NED","GK","Premier League","Brentford","31","37","37","3,275",36.4,"0","2","0","0","0","1","0","0.0","0.0","0.5","0","0"
"Phil Foden","ENG","MF,FW","Premier League","Manchester City","24","28","20","1,777",19.7,"7","2","7","0","0","2","0","5.2","5.2","4.8","50","103"
"Wesley Fofana","FRA","DF","Premier League","Chelsea","23","14","14","1,172",13,"0","0","0","0","0","7","0","0.4","0.4","0.4","19","32"
"Fraser Forster","ENG","GK","Premier League","Tottenham","36","7","7","630",7,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Niclas Füllkrug","GER","FW","Premier League","West Ham","31","18","6","790",8.8,"3","2","3","0","0","2","0","2.2","2.2","1.9","7","14"
"Cody Gakpo","NED","FW","Premier League","Liverpool","25","35","23","1,935",21.5,"10","4","10","0","0","5","0","7.1","7.1","4.4","59","52"
"Idrissa Gana Gueye","SEN","MF","Premier League","Everton","34","37","35","3,063",34,"0","3","0","0","0","9","0","1.1","1.1","1.7","27","145"
"Alejandro Garnacho","ARG","MF,FW","Premier League","Manchester Utd","20","36","23","2,199",24.4,"6","2","6","0","0","3","0","7.3","7.3","4.5","141","56"
"James Garner","ENG","MF,DF","Premier League","Everton","23","21","17","1,594",17.7,"0","1","0","0","0","5","0","0.7","0.7","1.4","15","50"
"Morgan Gibbs-White","ENG","MF","Premier League","Nott'ham Forest","24","34","34","2,803",31.1,"7","8","7","0","0","11","1","6.3","6.3","5.0","69","164"
"João Gomes","BRA","MF","Premier League","Wolves","23","36","35","2,974",33,"3","1","3","0","0","11","1","2.9","2.9","1.2","59","165"
"Rodrigo Gomes","POR","DF,FW","Premier League","Wolves","21","25","7","810",9,"2","0","2","0","0","0","0","0.7","0.7","0.9","23","27"
"Toti Gomes","POR","DF","Premier League","Wolves","25","31","30","2,614",29,"0","1","0","0","0","7","0","0.7","0.7","0.9","27","86"
"Diego Gómez","PAR","MF","Premier League","Brighton","21","16","4","516",5.7,"1","0","1","0","0","0","0","0.9","0.9","0.7","8","27"
"Joe Gomez","ENG","DF","Premier League","Liverpool","27","9","6","519",5.8,"0","0","0","0","0","1","0","0.3","0.3","0.1","5","35"
"Nicolás González","ESP","MF","Premier League","Manchester City","22","11","9","760",8.4,"1","0","1","0","0","3","0","0.5","0.5","0.1","9","50"
"Anthony Gordon","ENG","FW,MF","Premier League","Newcastle Utd","23","34","28","2,434",27,"6","5","5","1","2","2","0","8.0","6.5","5.0","121","98"
"Ryan Gravenberch","NED","MF","Premier League","Liverpool","22","37","37","3,160",35.1,"0","4","0","0","0","6","1","1.1","1.1","3.1","70","181"
"Archie Gray","ENG","DF,MF","Premier League","Tottenham","18","28","19","1,751",19.5,"0","0","0","0","0","1","0","0.0","0.0","0.1","7","40"
"Jack Grealish","ENG","FW,MF","Premier League","Manchester City","28","20","7","721",8,"1","1","1","0","0","3","0","1.1","1.1","1.8","69","52"
"Jacob Greaves","ENG","DF","Premier League","Ipswich Town","23","25","25","2,205",24.5,"1","0","1","0","0","5","0","1.3","1.3","0.3","11","69"
"Brajan Gruda","GER","MF,FW","Premier League","Brighton","20","21","8","687",7.6,"1","4","1","0","0","0","0","1.2","1.2","2.1","22","26"
"Gonçalo Guedes","POR","MF,FW","Premier League","Wolves","27","29","10","995",11.1,"2","4","2","0","0","1","0","3.2","3.2","1.3","41","40"
"Marc Guéhi","ENG","DF","Premier League","Crystal Palace","24","34","34","3,059",34,"3","2","3","0","0","9","1","2.0","2.0","1.8","22","134"
"Bruno Guimarães","BRA","MF","Premier League","Newcastle Utd","26","38","38","3,271",36.3,"5","6","5","0","0","7","0","4.3","4.3","6.1","64","271"
"İlkay Gündoğan","GER","MF","Premier League","Manchester City","33","33","25","2,223",24.7,"1","6","1","0","0","1","0","3.2","3.2","3.5","64","127"
"Malo Gusto","FRA","DF","Premier League","Chelsea","21","32","19","1,862",20.7,"0","1","0","0","0","4","0","1.7","1.7","1.4","50","119"
"Joško Gvardiol","CRO","DF","Premier League","Manchester City","22","37","36","3,277",36.4,"5","0","5","0","0","2","0","4.6","4.3","2.1","91","264"
"Erling Haaland","NOR","FW","Premier League","Manchester City","24","31","31","2,736",30.4,"22","3","19","3","4","2","0","22.0","18.8","3.0","24","20"
"Lewis Hall","ENG","DF","Premier League","Newcastle Utd","19","27","24","2,189",24.3,"0","4","0","0","0","3","0","0.4","0.4","4.3","41","123"
"Jack Harrison","ENG","FW","Premier League","Everton","27","34","24","2,076",23.1,"1","0","1","0","0","0","0","3.5","3.5","3.7","73","51"
"Taylor Harwood-Bellis","ENG","DF","Premier League","Southampton","22","34","32","2,825",31.4,"1","0","1","0","0","9","0","1.8","1.8","1.0","29","125"
"Kai Havertz","GER","FW,MF","Premier League","Arsenal","25","23","21","1,875",20.8,"9","3","9","0","0","5","0","9.5","9.5","2.4","35","61"
"Jan Paul van Hecke","NED","DF","Premier League","Brighton","24","34","33","2,958",32.9,"1","1","1","0","0","8","1","1.3","1.3","1.5","55","228"
"Hwang Hee-chan","KOR","MF,FW","Premier League","Wolves","28","21","5","661",7.3,"2","0","2","0","0","0","0","0.8","0.8","0.1","15","12"
"Dean Henderson","ENG","GK","Premier League","Crystal Palace","27","38","38","3,420",38,"0","0","0","0","0","3","0","0.0","0.0","0.2","0","0"
"Mads Hermansen","DEN","GK","Premier League","Leicester City","24","27","27","2,385",26.5,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","1"
"Son Heung-min","KOR","FW","Premier League","Tottenham","32","30","24","2,110",23.4,"7","9","6","1","2","1","0","7.2","5.7","8.2","96","111"
"James Hill","ENG","DF","Premier League","Bournemouth","22","10","6","448",5,"0","1","0","0","0","1","0","0.3","0.3","0.3","3","16"
"Jack Hinshelwood","ENG","MF,DF","Premier League","Brighton","19","26","22","1,842",20.5,"5","2","5","0","0","5","0","2.7","2.7","1.5","19","68"
"George Hirst","SCO","FW","Premier League","Ipswich Town","25","26","5","661",7.3,"3","1","3","0","0","3","0","2.1","2.1","0.3","9","13"
"Callum Hudson-Odoi","ENG","FW,MF","Premier League","Nott'ham Forest","23","31","25","2,194",24.4,"5","2","5","0","0","2","0","2.5","2.5","2.7","130","71"
"Will Hughes","ENG","MF","Premier League","Crystal Palace","29","33","24","2,108",23.4,"0","3","0","0","0","11","0","1.1","1.1","3.1","20","87"
"Dean Huijsen","ESP","DF","Premier League","Bournemouth","19","32","26","2,427",27,"3","2","3","0","0","10","0","1.9","1.9","2.0","41","132"
"Omari Hutchinson","ENG","MF,FW","Premier League","Ipswich Town","20","31","30","2,583",28.7,"3","2","3","0","0","5","0","2.9","2.9","3.5","97","75"
"Rasmus Højlund","DEN","FW","Premier League","Manchester Utd","21","32","23","2,004",22.3,"4","0","4","0","0","2","0","5.3","5.3","1.8","28","18"
"Igor","BRA","DF","Premier League","Brighton","26","13","10","961",10.7,"0","0","0","0","0","4","0","0.0","0.0","0.2","9","49"
"Tim Iroegbunam","ENG","MF","Premier League","Everton","21","18","5","574",6.4,"0","1","0","0","0","4","0","0.2","0.2","0.2","8","15"
"Alexander Isak","SWE","FW","Premier League","Newcastle Utd","24","34","34","2,756",30.6,"23","6","19","4","4","1","0","20.3","17.2","4.3","83","88"
"Alex Iwobi","NGA","FW,MF","Premier League","Fulham","28","38","35","2,981",33.1,"9","6","9","0","0","1","0","4.7","4.7","7.0","144","213"
"Nicolas Jackson","SEN","FW","Premier League","Chelsea","23","30","28","2,220",24.7,"10","5","10","0","0","7","1","12.3","12.3","4.3","47","38"
"Reece James","ENG","DF,MF","Premier League","Chelsea","24","19","12","1,063",11.8,"1","1","1","0","0","1","0","0.4","0.4","0.7","7","64"
"Vitaly Janelt","GER","MF","Premier League","Brentford","26","32","27","2,254",25,"1","3","1","0","0","3","0","0.8","0.8","2.2","17","80"
"Mathias Jensen","DEN","MF","Premier League","Brentford","28","24","8","862",9.6,"0","2","0","0","0","2","0","0.2","0.2","1.7","6","61"
"Gabriel Jesus","BRA","FW","Premier League","Arsenal","27","17","6","608",6.8,"3","0","3","0","0","4","0","3.0","3.0","0.7","15","19"
"Raúl Jiménez","MEX","FW","Premier League","Fulham","33","38","30","2,494",27.7,"12","3","9","3","3","4","0","12.0","9.6","3.3","35","62"
"João Pedro","BRA","FW,MF","Premier League","Brighton","22","27","23","1,948",21.6,"10","6","5","5","5","4","1","8.9","5.0","5.0","66","78"
"Joelinton","BRA","MF,FW","Premier League","Newcastle Utd","27","29","29","2,393",26.6,"4","3","4","0","0","10","0","3.9","3.9","2.5","40","116"
"Ben Johnson","ENG","DF,FW","Premier League","Ipswich Town","24","23","14","1,354",15,"1","2","1","0","0","5","1","1.1","1.1","1.3","16","27"
"Brennan Johnson","WAL","FW","Premier League","Tottenham","23","33","24","2,177",24.2,"11","3","11","0","0","5","0","10.4","10.4","2.3","60","71"
"Sam Johnstone","ENG","GK","Premier League","Wolves","31","7","7","630",7,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Curtis Jones","ENG","MF,DF","Premier League","Liverpool","23","33","19","1,712",19,"3","3","3","0","0","3","1","4.3","4.3","1.1","30","117"
"Jorginho","ITA","MF","Premier League","Arsenal","32","15","9","704",7.8,"0","0","0","0","0","5","0","0.1","0.1","0.4","12","48"
"Diogo Jota","POR","FW","Premier League","Liverpool","27","26","14","1,196",13.3,"6","3","6","0","0","2","0","7.9","7.9","1.8","37","34"
"James Justin","ENG","DF","Premier League","Leicester City","26","36","34","2,912",32.4,"2","2","2","0","0","6","0","1.5","1.5","0.8","39","91"
"Filip Jørgensen","DEN","GK","Premier League","Chelsea","22","6","6","540",6,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
