"player","nation","pos","league","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Joe Scally","USA","DF","Bundesliga","Gladbach","21","32","30","2,578",28.6,"0","0","0","0","0","6","0","0.4","0.4","1.1","52","68"
"András Schäfer","HUN","MF","Bundesliga","Union Berlin","25","26","17","1,534",17,"1","1","1","0","0","3","0","0.6","0.6","0.9","23","55"
"Patrik Schick","CZE","FW","Bundesliga","Leverkusen","28","31","19","1,684",18.7,"21","0","20","1","1","4","0","12.7","11.9","0.6","7","21"
"Keven Schlotterbeck","GER","DF","Bundesliga","Augsburg","27","18","15","1,297",14.4,"3","1","3","0","0","4","1","0.8","0.8","0.6","3","59"
"Nico Schlotterbeck","GER","DF","Bundesliga","Dortmund","24","23","23","1,982",22,"0","4","0","0","0","7","2","1.3","1.3","2.1","37","195"
"Romano Schmid","AUT","MF","Bundesliga","Werder Bremen","24","32","32","2,834",31.5,"5","4","4","1","1","4","0","4.3","3.5","6.2","107","279"
"Jan Schöppner","GER","MF","Bundesliga","Heidenheim","25","33","32","2,681",29.8,"4","3","4","0","0","8","0","3.9","3.9","3.4","35","107"
"Alexander Schwolow","GER","GK","Bundesliga","Union Berlin","32","6","6","540",6,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Léo Scienza","BRA","FW,MF","Bundesliga","Heidenheim","25","25","13","1,153",12.8,"3","3","3","0","0","1","0","2.0","2.0","3.7","70","30"
"Nicolas Seiwald","AUT","MF,DF","Bundesliga","RB Leipzig","23","30","20","2,084",23.2,"0","0","0","0","0","2","0","0.2","0.2","1.7","17","140"
"Benjamin Šeško","SVN","FW,MF","Bundesliga","RB Leipzig","21","33","30","2,380",26.4,"13","5","11","2","2","2","1","10.0","8.4","2.1","47","46"
"Armindo Sieb","GER","FW,MF","Bundesliga","Mainz 05","21","27","5","762",8.5,"2","2","2","0","0","2","0","2.8","2.8","1.1","28","18"
"Tim Siersleben","GER","DF","Bundesliga","Heidenheim","24","16","14","1,182",13.1,"0","0","0","0","0","4","0","0.6","0.6","0.5","8","31"
"Kiliann Sildillia","FRA","DF","Bundesliga","Freiburg","22","21","8","801",8.9,"2","0","2","0","0","2","0","0.5","0.5","0.7","11","29"
"Xavi Simons","NED","MF","Bundesliga","RB Leipzig","21","25","25","2,150",23.9,"10","6","10","0","0","5","0","5.1","5.1","6.3","85","140"
"Danel Sinani","LUX","FW,MF","Bundesliga","St. Pauli","27","26","14","1,250",13.9,"2","2","2","0","0","3","0","1.7","1.7","3.0","16","60"
"Ibrahima Sissoko","MLI","MF","Bundesliga","Bochum","26","32","30","2,610",29,"2","1","2","0","0","11","1","1.7","1.7","1.6","35","105"
"Tim Skarke","GER","FW,MF","Bundesliga","Union Berlin","27","33","11","1,164",12.9,"0","2","0","0","0","1","0","2.1","2.1","1.2","26","25"
"Ellyes Skhiri","TUN","MF","Bundesliga","Eint Frankfurt","29","30","26","2,231",24.8,"1","2","1","0","0","6","0","1.4","1.4","1.4","17","105"
"Leo Skiri Østigård","NOR","DF","Bundesliga","Hoffenheim","24","11","11","927",10.3,"0","0","0","0","0","0","1","0.3","0.3","0.1","0","51"
"Andreas Skov Olsen","DEN","FW,MF","Bundesliga","Wolfsburg","24","12","4","535",5.9,"1","1","1","0","0","0","0","0.8","0.8","1.9","22","22"
"Robert Skov","DEN","DF,MF","Bundesliga","Union Berlin","28","15","11","852",9.5,"2","2","1","1","1","1","0","1.7","0.9","2.4","25","36"
"Steven Skrzybski","GER","MF,FW","Bundesliga","Holstein Kiel","31","24","15","1,323",14.7,"6","3","5","1","1","0","0","3.5","2.7","2.9","17","64"
"Eric Smith","SWE","DF,MF","Bundesliga","St. Pauli","27","32","32","2,827",31.4,"1","1","1","0","0","7","0","1.4","1.4","1.5","16","118"
"Anton Stach","GER","MF,DF","Bundesliga","Hoffenheim","25","30","29","2,585",28.7,"1","2","1","0","0","8","0","2.0","2.0","2.2","33","152"
"Jens Stage","DEN","MF","Bundesliga","Werder Bremen","27","28","26","2,204",24.5,"10","5","10","0","0","10","0","7.2","7.2","2.8","28","104"
"Josip Stanišić","CRO","DF","Bundesliga","Bayern Munich","24","14","9","876",9.7,"0","2","0","0","0","0","0","0.3","0.3","1.5","20","76"
"Niklas Stark","GER","DF","Bundesliga","Werder Bremen","29","26","25","2,106",23.4,"0","1","0","0","0","6","1","1.1","1.1","0.1","7","62"
"Leonidas Stergiou","SUI","DF","Bundesliga","Stuttgart","22","12","11","852",9.5,"1","2","1","0","0","0","1","1.1","1.1","0.9","11","39"
"Angelo Stiller","GER","MF","Bundesliga","Stuttgart","23","32","31","2,741",30.5,"1","8","1","0","0","6","0","1.8","1.8","7.2","39","289"
"Kevin Stöger","AUT","MF","Bundesliga","Gladbach","30","31","16","1,551",17.2,"3","3","1","2","2","3","0","3.9","2.3","5.3","40","121"
