"player","nation","pos","team","played_90s","pass_att","live_pass","dead_pass","free_kicks","through_balls","switches","crosses","throw_ins","corners","inswingers","outswingers","straight_corners","pass_comp","pass_offside","pass_block"
"Ferrán Ruiz","ESP","MF","Girona","0.2","6","6","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Youssouf Sabaly","SEN","DF","Betis","17.6","994","798","196","20","2","3","31","176","0","0","0","0","862","0","20"
"Umar Sadiq","NGA","FW","Valencia","9.2","173","155","17","0","0","3","0","1","0","0","0","0","125","1","5"
"Umar Sadiq","NGA","FW","Real Sociedad","2.5","48","46","1","0","0","0","2","0","0","0","0","0","25","1","2"
"Jorge Sáenz","ESP","DF","Leganés","18.8","898","863","33","28","0","7","0","2","0","0","0","0","752","2","2"
"Jan Salas","ESP","MF,FW","Mallorca","0.5","26","26","0","0","0","0","1","0","0","0","0","0","20","0","0"
"Kike Salas","ESP","DF","Sevilla","24.9","1412","1280","129","47","1","13","9","69","0","0","0","0","1109","3","16"
"Albert Sambi Lokonga","BEL","MF","Sevilla","16.3","894","867","26","20","5","10","2","5","0","0","0","0","799","1","5"
"Chuky san jose","ESP","MF","Valladolid","8.1","163","143","19","7","0","1","24","0","9","7","2","0","112","1","9"
"Oihan Sancet","ESP","MF","Athletic Club","18.0","569","547","18","2","5","4","18","3","0","0","0","0","461","4","14"
"Antonio Sánchez","ESP","MF,DF","Mallorca","15.5","537","495","38","4","1","2","33","28","3","0","2","0","391","4","13"
"Iván Sánchez","ESP","MF,FW","Valladolid","15.6","591","525","63","19","2","13","114","18","25","21","1","1","422","3","15"
"Javi Sánchez","ESP","DF","Valladolid","22.5","1163","1095","60","34","0","11","0","6","0","0","0","0","1015","8","6"
"Juanlu Sánchez","ESP","MF,DF","Sevilla","19.1","697","635","60","2","0","2","40","55","0","0","0","0","568","2","31"
"Manu Sánchez","ESP","DF","Alavés","29.3","1117","824","285","19","1","3","78","262","4","1","2","0","807","8","43"
"Maroan Sannadi","MAR","FW","Athletic Club","8.4","159","156","3","0","1","0","6","0","0","0","0","0","115","0","9"
"Jesús Santiago","ESP","MF","Getafe","4.1","136","134","2","0","0","0","3","2","0","0","0","0","99","0","3"
"Aleksandar Sedlar","SRB","DF","Alavés","6.6","236","224","12","7","0","1","0","3","0","0","0","0","195","0","1"
"Sergi","ESP","DF","Leganés","32.9","1518","1457","54","52","0","7","1","1","0","0","0","0","1271","7","8"
"Nicolás Serrano","ESP","FW","Athletic Club","1.2","44","37","7","2","0","0","13","0","5","4","0","0","25","0","0"
"Fábio Silva","POR","FW","Las Palmas","20.7","466","421","44","1","3","3","21","5","0","0","0","0","309","1","24"
"Rui Silva","POR","GK","Betis","15.0","524","404","118","42","0","0","0","0","0","0","0","0","412","2","0"
"Giuliano Simeone","ARG","MF","Atlético Madrid","21.4","795","765","29","0","2","0","49","28","1","0","0","0","600","1","40"
"Unai Simón","ESP","GK","Athletic Club","21.0","654","484","166","49","0","0","0","0","0","0","0","0","455","4","0"
"Daley Sinkgraven","NED","DF","Las Palmas","1.0","66","59","7","2","0","0","4","5","0","0","0","0","50","0","1"
"Jailson Siqueira","BRA","DF,MF","Celta Vigo","6.8","481","473","8","6","0","2","1","1","0","0","0","0","435","0","5"
"Antonio Sivera","ESP","GK","Alavés","31.2","967","585","379","150","0","0","0","0","0","0","0","0","521","3","1"
"Justin Smith","CAN","MF","Espanyol","2.3","61","58","2","2","0","0","1","0","0","0","0","0","40","1","1"
"Alex Sola","ESP","MF,FW","Getafe","11.4","242","238","2","1","0","2","18","1","0","0","0","0","155","2","10"
"Arnau Solà","ESP","MF","Villarreal","0.1","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Jhon Solis","COL","MF","Girona","5.9","295","291","2","2","1","0","3","0","0","0","0","0","264","2","1"
"David Soria","ESP","GK","Getafe","38.0","1029","561","462","158","0","4","0","0","0","0","0","0","513","6","0"
"Juan Soriano","ESP","GK","Leganés","6.0","185","108","77","23","0","0","0","0","0","0","0","0","98","0","0"
"Hugo Sotelo","ESP","MF","Celta Vigo","13.9","1018","941","77","37","3","19","50","1","39","14","18","0","873","0","10"
"Djibril Sow","SUI","MF","Sevilla","22.9","994","970","22","17","0","5","9","1","2","0","0","0","883","2","11"
"Carl Starfelt","SWE","DF","Celta Vigo","25.2","1643","1614","29","22","1","5","0","0","0","0","0","0","1539","0","4"
"Orri Steinn Óskarsson","ISL","FW","Real Sociedad","10.5","197","188","4","0","0","0","7","0","0","0","0","0","104","5","9"
"Stoichkov","ESP","MF,FW","Alavés","7.8","214","204","9","0","6","1","13","0","0","0","0","0","132","1","13"
"Cristhian Stuani","URU","FW","Girona","12.0","154","133","21","0","1","0","2","1","0","0","0","0","107","0","3"
"Álex Suárez","ESP","DF","Las Palmas","27.3","1357","1210","146","71","1","9","1","34","0","0","0","0","1165","1","13"
"Denis Suárez","ESP","MF","Villarreal","6.8","291","265","22","7","0","5","25","3","11","2","7","0","228","4","8"
"Luka Sučić","CRO","MF","Real Sociedad","19.9","882","852","24","7","5","7","18","1","1","0","1","0","727","6","15"
"Suso","ESP","FW,MF","Sevilla","6.7","385","333","49","11","2","5","59","5","30","18","7","1","285","3","11"
"Williot Swedberg","SWE","FW,MF","Celta Vigo","15.0","363","360","2","0","4","1","18","2","0","0","0","0","266","1","18"
"Mamadou Sylla","SEN","FW,MF","Valladolid","17.6","282","246","33","1","0","1","9","4","0","0","0","0","177","3","12"
"Wojciech Szczęsny","POL","GK","Barcelona","15.0","454","377","75","21","0","1","0","0","0","0","0","0","402","2","0"
"Alexander Sørloth","NOR","FW","Atlético Madrid","17.4","359","341","12","0","1","0","5","0","0","0","0","0","229","6","5"
"Renato Tapia","PER","MF,DF","Leganés","26.9","1070","1017","50","36","4","20","12","14","0","0","0","0","838","3","25"
"César Tárrega","ESP","DF","Valencia","33.6","1692","1608","79","47","0","10","1","1","0","0","0","0","1428","5","14"
"Aurélien Tchouaméni","FRA","DF,MF","Real Madrid","29.9","2025","1936","86","57","0","9","12","6","0","0","0","0","1869","3","10"
"Álvaro Tejero","ESP","MF,DF","Espanyol","13.8","626","472","152","35","1","4","113","64","53","15","28","1","453","2","15"
