"player","nation","pos","team","played_90s","pass_att","live_pass","dead_pass","free_kicks","through_balls","switches","crosses","throw_ins","corners","inswingers","outswingers","straight_corners","pass_comp","pass_offside","pass_block"
"Max Aarons","ENG","DF","Bournemouth","1.0","63","51","12","2","0","0","2","10","0","0","0","0","50","0","1"
"Joshua Acheampong","ENG","DF","Chelsea","1.9","124","121","3","2","0","0","0","1","0","0","0","0","104","0","2"
"Tyler Adams","USA","MF","Bournemouth","21.8","1069","1025","38","34","2","1","3","4","0","0","0","0","902","6","14"
"Tosin Adarabioyo","ENG","DF","Chelsea","15.7","1184","1142","39","23","2","3","0","4","0","0","0","0","1079","3","3"
"Simon Adingra","CIV","FW,MF","Brighton","12.2","382","372","9","0","2","0","41","8","1","0","0","0","290","1","12"
"Emmanuel Agbadou","CIV","DF","Wolves","15.7","1001","955","43","28","1","11","2","0","0","0","0","0","855","3","5"
"Asher Agbinone","ENG","MF","Crystal Palace","0.1","3","3","0","0","0","0","1","0","0","0","0","0","2","0","0"
"Ola Aina","NGA","DF","Nott'ham Forest","33.3","1352","1071","279","15","0","4","59","264","0","0","0","0","994","2","46"
"Rayan Aït-Nouri","ALG","DF","Wolves","34.5","1721","1397","320","44","3","4","94","246","30","24","1","0","1449","4","42"
"Kristoffer Ajer","NOR","DF","Brentford","16.0","644","570","73","2","0","3","14","71","0","0","0","0","504","1","18"
"Manuel Akanji","SUI","DF","Manchester City","22.4","1744","1707","36","18","4","10","11","10","0","0","0","0","1632","1","6"
"Nathan Aké","NED","DF","Manchester City","7.5","542","514","26","13","0","0","1","7","0","0","0","0","509","2","3"
"Carlos Alcaraz","ARG","MF","Southampton","0.1","13","11","2","0","0","0","1","1","1","0","0","0","13","0","0"
"Carlos Alcaraz","ARG","FW,MF","Everton","8.5","278","265","12","2","1","2","11","6","3","2","1","0","224","1","10"
"Trent Alexander-Arnold","ENG","DF","Liverpool","26.3","1971","1651","310","63","12","32","153","192","55","34","12","1","1448","10","36"
"Alisson","BRA","GK","Liverpool","27.9","959","836","121","41","1","1","0","0","0","0","0","0","794","2","1"
"Miguel Almirón","PAR","FW","Newcastle Utd","1.7","66","64","1","0","1","0","0","1","0","0","0","0","54","1","2"
"Olabade Aluko",NA,"DF","Leicester City","0.0","5","4","1","1","0","0","0","0","0","0","0","0","3","0","0"
"Edson Álvarez","MEX","MF","West Ham","19.7","1003","980","16","12","3","12","6","3","0","0","0","0","861","7","10"
"Will Alves","ENG","FW","Leicester City","0.0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Harry Amass","ENG","DF","Manchester Utd","3.8","181","150","31","2","0","0","9","29","0","0","0","0","149","0","3"
"Samuel Amo-Ameyaw","ENG","FW,DF","Southampton","0.3","9","8","1","0","0","0","2","0","1","0","0","0","8","0","0"
"Mathis Amougou","FRA","MF","Chelsea","0.1","7","7","0","0","0","0","0","0","0","0","0","0","7","0","0"
"Joachim Andersen","DEN","DF","Crystal Palace","1.0","83","81","2","1","0","0","1","0","1","0","0","0","61","0","0"
"Joachim Andersen","DEN","DF","Fulham","28.7","2000","1891","102","81","0","35","12","9","0","0","0","0","1654","7","8"
"Elliot Anderson","ENG","MF","Nott'ham Forest","30.3","1386","1292","85","26","7","4","86","2","48","17","28","0","1085","9","35"
"André","BRA","MF","Wolves","27.5","1342","1308","32","28","5","15","0","2","0","0","0","0","1247","2","14"
"Michail Antonio","JAM","FW","West Ham","9.3","188","175","11","0","3","6","25","7","0","0","0","0","114","2","14"
"Antony","BRA","DF,MF","Manchester Utd","1.6","69","62","7","2","0","0","5","5","0","0","0","0","56","0","1"
"Julian Araujo","MEX","DF","Bournemouth","5.5","225","198","27","2","0","0","9","25","0","0","0","0","178","0","2"
"Cameron Archer","ENG","FW","Southampton","16.0","251","231","19","0","2","0","3","0","0","0","0","0","205","1","8"
"Alphonse Areola","FRA","GK","West Ham","25.1","989","716","268","72","0","3","0","0","0","0","0","0","688","5","3"
"Joe Aribo","NGA","MF,DF","Southampton","22.4","1046","1032","13","4","2","1","10","4","0","0","0","0","929","1","15"
"Adam Armstrong","ENG","FW,MF","Southampton","13.9","288","268","18","0","0","1","14","3","0","0","0","0","231","2","12"
"Harrison Armstrong","ENG","MF","Everton","0.5","15","13","1","0","0","0","1","0","0","0","0","0","7","1","0"
"Kepa Arrizabalaga","ESP","GK","Bournemouth","31.0","1027","728","295","103","0","0","0","0","0","0","0","0","752","4","2"
"Marco Asensio","ESP","MF","Aston Villa","8.3","313","271","39","14","2","1","38","0","23","11","1","0","242","3","8"
"Brandon Austin","ENG","GK","Tottenham","1.0","32","24","8","2","0","0","0","0","0","0","0","0","22","0","0"
"Taiwo Awoniyi","NGA","FW","Nott'ham Forest","4.6","96","96","0","0","1","0","2","0","0","0","0","0","61","0","4"
"Yasin Ayari","SWE","MF","Brighton","21.8","973","880","92","34","10","1","69","3","37","27","6","1","793","1","14"
"Jordan Ayew","GHA","FW,MF","Crystal Palace","0.2","10","8","2","0","0","1","1","0","1","1","0","0","8","0","0"
"Jordan Ayew","GHA","FW,MF","Leicester City","18.2","540","490","49","13","3","2","60","5","28","15","8","3","401","1","11"
"Benoît Badiashile","FRA","DF","Chelsea","3.7","304","288","15","5","0","1","0","0","0","0","0","0","273","1","0"
"Leon Bailey","JAM","FW,MF","Aston Villa","12.7","390","369","18","0","5","1","34","1","17","9","0","0","277","3","24"
"Carlos Baleba","CMR","MF","Brighton","29.6","1314","1289","23","10","7","3","9","3","0","0","0","0","1149","2","14"
"Ross Barkley","ENG","MF","Aston Villa","6.5","395","381","13","11","0","3","1","1","0","0","0","0","337","1","9"
"Harvey Barnes","ENG","FW","Newcastle Utd","19.5","607","590","15","3","5","1","47","10","2","0","0","0","474","2","17"
"Calvin Bassey","NGA","DF","Fulham","34.2","2155","2025","128","48","0","10","8","8","0","0","0","0","1934","2","17"
"Altay Bayındır","TUR","GK","Manchester Utd","4.0","152","121","31","7","0","0","0","0","0","0","0","0","92","0","2"
"Jan Bednarek","POL","DF","Southampton","28.1","1687","1606","79","33","0","7","1","1","0","0","0","0","1564","2","4"
"Armel Bella Kotchap","GER","DF","Southampton","3.7","224","219","4","4","0","0","0","0","0","0","0","0","202","1","1"
"Jean-Ricner Bellegarde","FRA","MF,FW","Wolves","18.6","599","575","23","9","5","4","44","3","5","4","0","0","475","1","21"
"Rodrigo Bentancur","URU","MF","Tottenham","18.3","1076","1036","38","31","4","2","4","2","0","0","0","0","946","2","19"
"Daniel Bentley","ENG","GK","Wolves","2.0","65","45","20","7","0","0","0","0","0","0","0","0","49","0","0"
"Sander Berge","NOR","MF","Fulham","24.7","1193","1152","41","40","3","7","3","1","0","0","0","0","1091","0","8"
"Lucas Bergvall","SWE","MF","Tottenham","13.5","720","675","44","21","0","8","21","10","8","5","2","0","629","1","11"
"Victor Bernth Kristiansen","DEN","DF","Leicester City","27.6","1321","1067","246","40","1","2","97","189","17","14","2","0","1023","8","24"
"Beto","GNB","FW","Everton","17.0","268","264","4","0","1","2","4","0","1","0","0","0","156","0","13"
"Philip Billing","DEN","MF","Bournemouth","2.0","102","91","10","1","1","1","10","1","6","2","2","1","70","1","2"
"Yves Bissouma","MLI","MF","Tottenham","15.6","852","807","42","41","2","2","2","1","0","0","0","0","755","3","10"
"Oscar Bobb","NOR","FW","Manchester City","0.2","15","14","1","0","0","0","0","0","0","0","0","0","13","0","0"
"Lamare Bogarde","NED","DF,MF","Aston Villa","5.3","272","239","31","14","0","0","0","17","0","0","0","0","240","2","1"
"Willy Boly","CIV","DF","Nott'ham Forest","1.7","70","69","1","1","0","0","0","0","0","0","0","0","55","0","0"
"Sven Botman","NED","DF","Newcastle Utd","4.6","246","238","8","7","1","2","0","1","0","0","0","0","220","0","0"
"Jarrod Bowen","ENG","FW,MF","West Ham","33.0","815","722","87","6","7","4","106","3","44","28","15","0","584","6","44"
"Conor Bradley","NIR","DF","Liverpool","8.4","544","471","71","13","0","2","7","58","0","0","0","0","456","2","12"
"Jarrad Branthwaite","ENG","DF","Everton","27.9","1198","1141","51","38","1","17","5","3","0","0","0","0","984","6","7"
"James Bree","ENG","DF","Southampton","11.9","599","549","49","9","0","0","29","36","3","2","0","0","500","1","9"
"Ben Brereton","CHI","FW","Southampton","5.0","166","163","2","1","1","0","5","1","0","0","0","0","128","1","3"
"Nathan Broadhead","WAL","MF,FW","Ipswich Town","7.8","228","218","10","0","3","1","9","2","3","3","0","0","178","0","11"
"Armando Broja","ALB","FW","Everton","3.7","73","72","0","0","0","0","1","0","0","0","0","0","53","1","1"
"David Brooks","WAL","FW,MF","Bournemouth","10.7","411","366","44","14","3","0","52","10","17","7","4","0","310","1","14"
"Emi Buendía","ARG","MF,FW","Aston Villa","1.1","60","59","1","1","1","0","0","0","0","0","0","0","49","0","0"
"Santiago Bueno","URU","DF","Wolves","18.7","842","807","34","21","1","3","0","4","0","0","0","0","741","1","9"
"Facundo Buonanotte","ARG","FW,MF","Leicester City","16.9","572","501","67","24","7","4","43","10","26","19","1","0","437","4","9"
"Cameron Burgess","AUS","DF","Ipswich Town","17.1","774","710","60","28","1","1","0","0","0","0","0","0","626","4","7"
"Dan Burn","ENG","DF","Newcastle Utd","37.0","2006","1968","37","25","0","12","3","8","0","0","0","0","1774","1","16"
"Wes Burns","WAL","FW,DF","Ipswich Town","10.3","253","244","9","1","0","1","46","8","0","0","0","0","153","0","24"
"Nathan Butler-Oyedeji","ENG","FW","Arsenal","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Moisés Caicedo","ECU","MF,DF","Chelsea","37.2","2194","2116","74","47","12","13","10","27","0","0","0","0","1967","4","20"
"Tom Cairney","SCO","MF","Fulham","7.0","627","602","25","11","0","2","20","1","8","3","3","0","569","0","8"
"Jens Cajuste","SWE","MF","Ipswich Town","21.8","783","719","64","23","1","5","10","41","0","0","0","0","647","0","12"
"Riccardo Calafiori","ITA","DF","Arsenal","10.9","549","483","65","7","0","2","11","58","0","0","0","0","470","1","11"
"Dominic Calvert-Lewin","ENG","FW","Everton","17.9","289","287","2","0","0","1","6","1","0","0","0","0","181","0","12"
"Diego Carlos","BRA","DF","Aston Villa","9.2","603","575","25","17","0","6","0","0","0","0","0","0","534","3","0"
"Fabio Carvalho","POR","FW,MF","Brentford","5.1","178","163","14","4","2","0","10","1","7","3","0","0","126","1","7"
"Casemiro","BRA","MF","Manchester Utd","16.6","990","963","19","17","9","9","20","2","0","0","0","0","780","8","22"
"Kaelan Casey","ENG","DF","West Ham","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matty Cash","POL","DF","Aston Villa","23.0","945","781","162","23","0","1","40","139","0","0","0","0","732","2","21"
"Eiran Cashin","IRL","DF","Brighton","0.2","28","28","0","0","0","0","1","0","0","0","0","0","23","0","0"
"Timothy Castagne","BEL","DF","Fulham","18.3","953","813","140","10","0","1","37","130","0","0","0","0","780","0","26"
"Trevoh Chalobah","ENG","DF","Crystal Palace","11.8","442","426","16","11","1","2","7","5","0","0","0","0","349","0","7"
"Trevoh Chalobah","ENG","DF","Chelsea","10.1","677","654","23","11","1","2","3","10","0","0","0","0","609","0","3"
"Conor Chaplin","ENG","MF,FW","Ipswich Town","9.5","319","282","37","3","10","1","9","4","0","0","0","0","235","0","5"
"Youssef Chermiti","POR","FW,MF","Everton","0.5","11","11","0","0","0","0","1","0","0","0","0","0","6","0","0"
"Federico Chiesa","ITA","FW","Liverpool","1.2","31","30","1","0","0","0","2","1","0","0","0","0","27","0","1"
"Ben Chilwell","ENG","DF","Crystal Palace","2.9","125","95","30","6","1","0","7","24","0","0","0","0","92","0","4"
"Chiquinho","POR","MF","Wolves","0.1","3","3","0","0","0","0","1","0","0","0","0","0","3","0","0"
"Hamza Choudhury","BAN","MF,DF","Leicester City","1.5","84","81","3","0","0","0","5","3","0","0","0","0","72","0","1"
"Ryan Christie","SCO","MF","Bournemouth","23.5","1056","990","60","21","8","9","48","3","26","17","3","2","837","6","19"
"Harry Clarke","ENG","DF","Ipswich Town","4.2","236","211","25","2","1","0","5","23","0","0","0","0","190","0","4"
"Jack Clarke","ENG","FW,MF","Ipswich Town","13.1","393","372","19","2","1","3","13","8","7","5","0","0","302","2","18"
"Nathaniel Clyne","ENG","DF,MF","Crystal Palace","5.4","225","207","16","1","1","1","7","13","0","0","0","0","171","2","8"
"Conor Coady","ENG","DF","Leicester City","19.0","1072","1010","58","29","2","3","0","1","0","0","0","0","977","4","4"
"Séamus Coleman","IRL","DF","Everton","2.4","98","78","19","0","0","0","4","19","0","0","0","0","74","1","2"
"Nathan Collins","IRL","DF","Brentford","38.0","1985","1897","83","69","3","6","8","11","0","0","0","0","1705","5","8"
"Toby Collyer","ENG","MF","Manchester Utd","2.0","92","88","4","1","0","0","0","2","0","0","0","0","76","0","2"
"Levi Colwill","ENG","DF","Chelsea","35.0","2619","2418","197","91","3","7","13","7","0","0","0","0","2338","4","21"
"Lewis Cook","ENG","MF,DF","Bournemouth","33.1","1585","1358","225","71","3","2","132","73","77","65","3","0","1224","2","26"
"Maxwel Cornet","CIV","FW","Southampton","0.8","22","20","2","0","0","0","3","0","2","2","0","0","17","0","0"
"Vladimír Coufal","CZE","DF","West Ham","11.9","598","490","106","11","0","0","28","95","0","0","0","0","470","2","11"
"Woyo Coulibaly","MLI","DF","Leicester City","1.2","57","44","13","0","0","0","0","13","0","0","0","0","48","0","0"
"Aaron Cresswell","ENG","DF","West Ham","9.2","610","511","98","33","1","5","36","52","13","11","2","0","504","1","10"
"Marc Cucurella","ESP","DF","Chelsea","33.2","1916","1634","275","28","2","1","31","245","2","0","0","0","1680","7","23"
"Jorge Cuenca","ESP","DF","Fulham","3.9","173","160","13","4","0","0","1","2","0","0","0","0","145","0","0"
"Matheus Cunha","BRA","MF,FW","Wolves","28.9","1133","938","185","52","14","15","142","32","73","40","23","3","811","10","34"
"Patson Daka","ZAM","FW,MF","Leicester City","8.2","147","138","9","0","2","0","3","6","0","0","0","0","106","0","11"
"Diogo Dalot","POR","DF","Manchester Utd","31.3","1673","1426","242","13","4","8","66","229","0","0","0","0","1347","5","36"
"Mikkel Damsgaard","DEN","MF,FW","Brentford","32.3","1529","1368","153","33","27","5","144","9","60","53","0","0","1107","8","36"
"Danilo","BRA","MF,FW","Nott'ham Forest","3.1","121","119","1","0","0","0","3","0","1","1","0","0","94","1","5"
"Jayden Danns","ENG","MF","Liverpool","0.1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Kevin Danso","AUT","DF","Tottenham","9.4","555","534","21","17","0","2","1","0","0","0","0","0","480","0","8"
"Ben Davies","WAL","DF","Tottenham","14.8","1023","925","95","26","1","5","4","5","0","0","0","0","896","3","8"
"Leif Davis","ENG","DF","Ipswich Town","30.5","1284","970","307","61","3","5","161","166","80","56","13","0","919","7","23"
"Craig Dawson","ENG","DF","Wolves","10.8","559","528","30","20","1","11","0","0","0","0","0","0","484","1","0"
"Kevin De Bruyne","BEL","MF,FW","Manchester City","18.9","1196","1031","160","32","15","10","145","18","94","33","20","2","908","5","28"
"Bobby De Cordova-Reid","JAM","FW","Leicester City","8.3","206","198","8","1","0","0","15","6","0","0","0","0","145","0","15"
"Liam Delap","ENG","FW","Ipswich Town","28.8","357","350","5","0","8","1","5","2","0","0","0","0","219","2","16"
"Sepp van den Berg","NED","DF","Brentford","28.7","1278","1177","100","18","0","2","7","61","0","0","0","0","1092","1","7"
"Justin Devenny","NIR","MF","Crystal Palace","5.6","205","184","19","7","1","1","17","0","9","4","4","0","148","2","2"
"Kiernan Dewsbury-Hall","ENG","MF,FW","Chelsea","2.9","152","147","4","1","0","1","2","0","2","0","0","1","127","1","2"
"Amad Diallo","CIV","MF,FW","Manchester Utd","21.1","949","859","86","5","3","1","42","49","32","23","1","1","795","4","20"
"Rúben Dias","POR","DF","Manchester City","25.2","2317","2234","80","43","0","10","3","2","0","0","0","0","2167","3","14"
"Luis Díaz","COL","FW","Liverpool","26.7","874","855","17","2","2","9","32","14","1","0","0","0","736","2","24"
"Tyler Dibling","ENG","FW,MF","Southampton","20.8","620","585","32","4","8","3","28","3","11","8","0","0","504","3","17"
"Lucas Digne","FRA","DF","Aston Villa","26.1","1277","1017","258","44","2","4","140","155","57","37","10","0","956","2","41"
"Issa Diop","FRA","DF","Fulham","14.9","758","733","25","21","0","1","1","2","0","0","0","0","663","0","2"
"Axel Disasi","FRA","DF","Aston Villa","5.4","280","258","20","9","1","0","1","11","0","0","0","0","243","2","5"
"Axel Disasi","FRA","DF","Chelsea","4.0","293","266","27","10","0","1","0","17","0","0","0","0","266","0","2"
"Roman Dixon","ENG","DF","Everton","1.0","19","16","3","0","0","0","0","3","0","0","0","0","11","0","0"
"Nasser Djiga","BFA","DF","Wolves","0.7","48","45","3","1","0","0","0","2","0","0","0","0","40","0","2"
"Matt Doherty","IRL","DF","Wolves","23.4","1302","1177","121","55","2","22","22","66","0","0","0","0","1078","4","14"
"Jeremy Doku","BEL","FW,MF","Manchester City","16.8","762","757","3","0","8","0","59","1","2","0","0","0","603","2","30"
"Nicolás Domínguez","ARG","MF,FW","Nott'ham Forest","21.8","947","890","50","22","7","0","7","6","0","0","0","0","821","7","11"
"Patrick Dorgu","DEN","DF","Manchester Utd","9.4","494","419","74","8","0","1","39","65","1","0","0","0","400","1","8"
"Alfie Dorrington","ENG","DF","Tottenham","0.2","16","16","0","0","0","0","0","0","0","0","0","0","15","0","0"
"Abdoulaye Doucouré","MLI","MF","Everton","28.5","903","884","14","5","0","2","23","0","0","0","0","0","725","5","27"
"Cheick Doucouré","MLI","MF","Crystal Palace","5.0","204","201","3","3","0","0","1","0","0","0","0","0","174","0","4"
"Flynn Downes","ENG","MF","Southampton","23.9","1109","1079","29","29","7","1","4","0","0","0","0","0","1003","1","13"
"Tommy Doyle","ENG","MF","Wolves","5.4","392","353","35","19","0","6","15","3","12","6","4","0","321","4","8"
"Radu Drăgușin","ROU","DF","Tottenham","13.9","840","793","47","40","1","3","1","3","0","0","0","0","716","0","5"
"Martin Dúbravka","SVK","GK","Newcastle Utd","10.0","333","246","86","27","0","1","0","0","0","0","0","0","265","1","0"
"Lewis Dunk","ENG","DF","Brighton","23.1","1953","1818","131","67","2","10","5","10","0","0","0","0","1778","4","7"
"Jáder Durán","COL","FW","Aston Villa","7.1","163","155","7","0","2","0","3","0","0","0","0","0","115","1","4"
"Claudio Echeverri","ARG","FW","Manchester City","0.1","3","3","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Ederson","BRA","GK","Manchester City","25.8","923","817","106","29","1","2","0","0","0","0","0","0","811","0","1"
"George Edmundson","ENG","DF","Ipswich Town","0.0","2","2","0","0","0","0","0","0","0","0","0","0","1","0","1"
"Odsonne Édouard","FRA","MF,FW","Crystal Palace","1.3","28","28","0","0","0","0","1","0","0","0","0","0","17","0","2"
"Odsonne Édouard","FRA","FW","Leicester City","0.3","8","8","0","0","0","0","0","0","0","0","0","0","6","0","1"
"Samuel Edozie","ENG","DF,FW","Southampton","0.7","33","33","0","0","0","0","4","0","0","0","0","0","25","0","2"
"Ronnie Edwards","ENG","DF","Southampton","0.1","5","5","0","0","0","0","0","0","0","0","0","0","5","0","0"
"Anthony Elanga","SWE","FW,MF","Nott'ham Forest","27.8","827","697","126","31","3","0","185","6","86","43","39","0","540","4","24"
"Harvey Elliott","ENG","MF","Liverpool","4.1","292","267","22","2","1","3","12","8","6","3","1","0","240","3","4"
"Yunus Emre Konak","TUR","FW,MF","Brentford","0.5","36","35","1","0","0","0","0","1","0","0","0","0","26","0","1"
"Julio Enciso","PAR","MF,FW","Ipswich Town","9.7","248","210","37","8","4","0","21","2","13","11","1","0","171","1","11"
"Julio Enciso","PAR","MF,FW","Brighton","3.3","150","134","16","4","0","1","20","0","12","6","3","0","99","0","5"
"Wataru Endo","JPN","MF,DF","Liverpool","3.0","194","188","6","2","0","0","1","4","0","0","0","0","182","0","2"
"Christian Eriksen","DEN","MF","Manchester Utd","11.8","749","645","102","31","8","8","85","5","62","24","20","5","590","2","6"
"Romain Esse","ENG","MF","Crystal Palace","1.5","42","42","0","0","1","0","0","0","0","0","0","0","32","0","1"
"Pervis Estupiñán","ECU","DF","Brighton","26.7","1610","1370","237","20","0","5","119","180","37","23","9","3","1338","3","28"
"Evanilson","BRA","FW","Bournemouth","25.8","342","337","4","1","4","4","0","0","0","0","0","0","244","1","11"
"Jake Evans",NA,"FW","Leicester City","0.3","3","3","0","0","0","0","0","0","0","0","0","0","2","0","0"
"Jonny Evans","NIR","DF","Manchester Utd","3.5","217","197","20","5","0","0","0","3","0","0","0","0","192","0","1"
"Eberechi Eze","ENG","MF,FW","Crystal Palace","28.8","1047","849","180","70","11","6","112","3","62","39","10","0","777","18","17"
"Łukasz Fabiański","POL","GK","West Ham","12.9","495","351","143","43","0","0","0","0","0","0","0","0","332","1","0"
"Wout Faes","BEL","DF","Leicester City","31.3","1564","1507","54","27","2","7","5","6","0","0","0","0","1376","3","7"
"Abdul Fatawu Issahaku","GHA","FW","Leicester City","6.4","197","186","11","1","2","2","30","9","1","0","0","0","123","0","18"
"João Félix","POR","FW,MF","Chelsea","4.1","199","193","5","2","2","1","0","3","0","0","0","0","171","1","5"
"Evan Ferguson","IRL","FW","West Ham","1.7","37","35","1","0","1","1","0","0","0","0","0","0","28","1","0"
"Evan Ferguson","IRL","FW","Brighton","2.7","58","52","5","0","0","0","0","0","0","0","0","0","43","1","1"
"Bruno Fernandes","POR","MF","Manchester Utd","33.5","2242","1988","237","98","31","22","186","19","91","44","22","5","1707","17","55"
"Mateus Fernandes","POR","MF","Southampton","32.3","1361","1184","175","61","9","10","113","10","54","39","14","0","1087","2","36"
"Enzo Fernández","ARG","MF","Chelsea","32.7","1900","1757","134","53","14","26","109","4","74","44","12","1","1518","9","46"
"Mark Flekken","NED","GK","Brentford","36.4","1717","1367","343","131","0","5","0","0","0","0","0","0","1254","7","0"
"Phil Foden","ENG","MF,FW","Manchester City","19.7","941","854","83","21","7","2","80","5","46","30","8","1","791","4","26"
"Wesley Fofana","FRA","DF","Chelsea","13.0","803","758","44","23","0","0","1","20","0","0","0","0","724","1","4"
"Carlos Forbs","POR","MF,FW","Wolves","2.7","91","89","2","0","0","0","9","2","0","0","0","0","60","0","9"
"Fraser Forster","ENG","GK","Tottenham","7.0","198","125","72","16","0","1","0","0","0","0","0","0","168","1","0"
"Matheus França","BRA","MF,FW","Crystal Palace","0.6","17","14","1","0","0","0","1","0","0","0","0","0","10","2","1"
"Ryan Fraser","SCO","FW,DF","Southampton","3.4","103","97","5","0","0","0","12","3","2","2","0","0","77","1","2"
"Tyler Fredricson","ENG","DF","Manchester Utd","1.8","122","119","3","3","0","0","0","0","0","0","0","0","110","0","2"
"Niclas Füllkrug","GER","FW","West Ham","8.8","198","190","7","0","0","2","1","0","0","0","0","0","133","1","7"
"Cody Gakpo","NED","FW","Liverpool","21.5","634","616","16","4","3","4","74","11","1","0","0","0","480","2","10"
"Idrissa Gana Gueye","SEN","MF","Everton","34.0","1422","1388","27","7","2","7","7","7","0","0","0","0","1230","7","22"
"Andrés García","ESP","DF,MF","Aston Villa","3.5","201","176","25","0","0","0","18","25","0","0","0","0","174","0","5"
"Alejandro Garnacho","ARG","MF,FW","Manchester Utd","24.4","823","798","24","3","2","9","56","16","2","1","0","0","649","1","54"
"James Garner","ENG","MF,DF","Everton","17.7","803","687","110","17","2","2","57","42","23","16","4","2","611","6","23"
"Tyrique George","ENG","FW","Chelsea","2.0","54","53","1","0","0","0","3","1","0","0","0","0","43","0","2"
"Morgan Gibbs-White","ENG","MF","Nott'ham Forest","31.1","1269","1241","18","7","19","12","45","1","1","0","0","0","993","10","27"
"Billy Gilmour","SCO","MF","Brighton","1.1","67","65","2","1","1","2","1","0","1","1","0","0","58","0","0"
"Ben Godfrey","ENG","DF","Ipswich Town","1.8","57","49","8","1","0","0","0","7","0","0","0","0","47","0","3"
"Martial Godo","ENG","FW,DF","Fulham","0.3","17","15","2","0","0","0","1","2","0","0","0","0","12","0","2"
"Michael Golding","ENG","MF","Leicester City","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"João Gomes","BRA","MF","Wolves","33.0","1623","1564","56","27","5","9","29","17","1","1","0","0","1380","3","24"
"Rodrigo Gomes","POR","DF,FW","Wolves","9.0","309","267","41","1","1","0","23","39","1","0","1","0","212","1","10"
"Toti Gomes","POR","DF","Wolves","29.0","1714","1618","95","46","0","3","13","35","0","0","0","0","1473","1","21"
"Diego Gómez","PAR","MF","Brighton","5.7","302","283","19","2","4","2","12","1","6","2","3","0","243","0","9"
"Joe Gomez","ENG","DF","Liverpool","5.8","425","406","18","12","1","5","2","6","0","0","0","0","377","1","2"
"Nicolás González","ESP","MF","Manchester City","8.4","625","603","21","19","1","0","1","2","0","0","0","0","575","1","5"
"Anthony Gordon","ENG","FW,MF","Newcastle Utd","27.0","982","857","117","24","9","4","131","34","53","35","7","0","720","8","38"
"Ryan Gravenberch","NED","MF","Liverpool","35.1","1927","1889","32","16","8","7","7","10","0","0","0","0","1718","6","15"
"Archie Gray","ENG","DF,MF","Tottenham","19.5","1145","1053","88","30","1","3","17","45","4","0","4","0","1001","4","18"
"Jack Grealish","ENG","FW,MF","Manchester City","8.0","436","418","18","5","0","0","20","4","9","4","0","0","382","0","11"
"Jacob Greaves","ENG","DF","Ipswich Town","24.5","1121","1041","78","30","0","0","1","23","0","0","0","0","962","2","4"
"Brajan Gruda","GER","MF,FW","Brighton","7.6","251","211","40","7","2","2","29","10","17","8","7","1","187","0","3"
"Albert Grønbaek","DEN","FW,MF","Southampton","1.6","18","18","0","0","0","0","1","0","0","0","0","0","13","0","1"
"Gonçalo Guedes","POR","MF,FW","Wolves","11.1","349","312","34","0","1","5","22","14","1","1","0","0","259","3","10"
"Marc Guéhi","ENG","DF","Crystal Palace","34.0","1765","1664","95","76","7","14","13","6","0","0","0","0","1473","6","9"
"Luis Guilherme","BRA","MF,FW","West Ham","1.7","67","64","3","0","0","0","8","1","2","0","2","0","58","0","2"
"Bruno Guimarães","BRA","MF","Newcastle Utd","36.3","1798","1708","81","70","22","14","28","3","5","2","2","0","1481","9","38"
"Marc Guiu","ESP","FW","Chelsea","0.8","16","14","2","0","0","0","0","0","0","0","0","0","11","0","0"
"İlkay Gündoğan","GER","MF","Manchester City","24.7","1703","1590","108","33","7","3","60","4","46","31","4","1","1525","5","21"
"Malo Gusto","FRA","DF","Chelsea","20.7","1385","1230","153","37","2","3","53","116","0","0","0","0","1198","2","26"
"Joško Gvardiol","CRO","DF","Manchester City","36.4","2721","2502","211","41","6","11","22","163","0","0","0","0","2454","8","33"
"Erling Haaland","NOR","FW","Manchester City","30.4","381","372","7","0","1","0","3","1","0","0","0","0","255","2","10"
"Lewis Hall","ENG","DF","Newcastle Utd","24.3","1592","1300","287","68","4","2","110","164","55","45","2","0","1300","5","27"
"Ali Al Hamadi","IRQ","FW","Ipswich Town","1.5","30","30","0","0","0","0","0","0","0","0","0","0","25","0","1"
"Marcus Harness","ENG","MF","Ipswich Town","0.5","16","16","0","0","0","0","0","0","0","0","0","0","10","0","1"
"Jack Harrison","ENG","FW","Everton","23.1","659","588","64","23","4","2","131","8","32","27","0","1","414","7","33"
"Taylor Harwood-Bellis","ENG","DF","Southampton","31.4","2164","2080","81","51","3","9","10","27","0","0","0","0","1892","3","11"
"Kai Havertz","GER","FW,MF","Arsenal","20.8","519","511","6","1","1","0","11","5","0","0","0","0","407","2","11"
"Ayden Heaven","ENG","DF","Manchester Utd","1.9","106","104","1","1","0","0","0","0","0","0","0","0","90","1","3"
"Jan Paul van Hecke","NED","DF","Brighton","32.9","2286","2146","138","104","4","19","11","8","0","0","0","0","2016","2","7"
