"player","nation","pos","team","played_90s","touches","touches_def_pen","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen","take_ons_att","take_ons_succ","take_ons_tackled","carries","carry_dist","prog_carry_dist","prog_carries","carries_final_3rd","carries_att_pen","miscontrols","dispossessed","passes_rec","prog_passes_rec"
"Max Aarons","ENG","DF","Bournemouth","1.0","73","2","19","40","15","0","2","0","1","41","152","68","1","0","0","1","0","40","3"
"Joshua Acheampong","ENG","DF","Chelsea","1.9","137","7","48","81","8","3","2","1","0","106","709","409","0","2","0","2","0","111","0"
"Tyler Adams","USA","MF","Bournemouth","21.8","1337","62","349","779","224","18","18","4","10","663","3337","1447","14","22","1","28","12","757","10"
"Tosin Adarabioyo","ENG","DF","Chelsea","15.7","1330","175","630","674","27","14","6","4","1","777","3207","1809","5","2","0","4","0","1000","1"
"Simon Adingra","CIV","FW,MF","Brighton","12.2","548","10","66","174","315","76","50","21","27","366","2514","1300","50","21","27","39","12","388","136"
"Emmanuel Agbadou","CIV","DF","Wolves","15.7","1172","190","649","504","28","7","13","10","2","758","3670","1752","6","4","0","6","4","796","2"
"Asher Agbinone","ENG","MF","Crystal Palace","0.1","8","0","0","2","6","0","2","0","1","5","53","23","2","0","0","0","1","5","1"
"Ola Aina","NGA","DF","Nott'ham Forest","33.3","1708","156","613","717","409","22","72","33","27","749","4798","2787","67","46","10","44","22","822","67"
"Rayan Aït-Nouri","ALG","DF","Wolves","34.5","2148","96","577","916","685","96","137","63","56","1129","6166","3205","89","62","28","52","47","1321","176"
"Kristoffer Ajer","NOR","DF","Brentford","16.0","795","53","265","368","168","38","16","7","8","387","2098","1180","27","11","2","15","12","491","44"
"Manuel Akanji","SUI","DF","Manchester City","22.4","1881","119","559","920","405","19","2","2","0","1254","6953","4234","46","64","0","5","5","1483","7"
"Nathan Aké","NED","DF","Manchester City","7.5","596","51","205","331","61","5","1","1","0","403","2244","1501","12","12","1","4","3","449","2"
"Carlos Alcaraz","ARG","MF","Southampton","0.1","17","0","1","8","9","2","2","0","2","12","112","98","4","1","0","0","0","12","1"
"Carlos Alcaraz","ARG","FW,MF","Everton","8.5","378","15","63","168","156","19","18","9","7","211","1331","707","19","21","2","14","13","247","21"
"Trent Alexander-Arnold","ENG","DF","Liverpool","26.3","2252","88","593","1013","660","44","37","17","17","1183","5353","2860","51","36","9","19","15","1436","94"
"Alisson","BRA","GK","Liverpool","27.9","1011","742","991","20","0","0","1","1","0","658","2625","1586","0","0","0","1","0","618","0"
"Miguel Almirón","PAR","FW","Newcastle Utd","1.7","81","1","10","35","36","9","2","1","1","54","284","93","3","3","2","0","2","59","18"
"Olabade Aluko",NA,"DF","Leicester City","0.0","6","0","0","6","1","0","1","0","1","2","1","0","0","0","0","0","1","2","0"
"Edson Álvarez","MEX","MF","West Ham","19.7","1239","67","361","693","194","12","33","14","14","687","3783","1714","24","22","2","27","15","830","18"
"Will Alves","ENG","FW","Leicester City","0.0","1","0","0","0","1","0","0","0","0","1","5","5","0","0","0","0","0","1","1"
"Harry Amass","ENG","DF","Manchester Utd","3.8","250","13","82","88","84","5","8","3","4","132","705","376","9","6","2","18","5","124","23"
"Samuel Amo-Ameyaw","ENG","FW,DF","Southampton","0.3","16","0","5","5","7","1","4","0","3","11","98","68","1","0","1","0","2","11","3"
"Mathis Amougou","FRA","MF","Chelsea","0.1","9","1","2","4","3","0","0","0","0","7","25","5","0","1","0","0","1","6","0"
"Joachim Andersen","DEN","DF","Crystal Palace","1.0","93","14","38","50","5","0","0","0","0","49","189","103","1","1","0","0","1","67","1"
"Joachim Andersen","DEN","DF","Fulham","28.7","2336","340","1233","1013","102","22","6","4","0","1350","6505","3435","16","14","1","6","3","1621","2"
"Elliot Anderson","ENG","MF","Nott'ham Forest","30.3","1831","102","424","890","547","72","75","36","30","932","5071","2366","52","32","21","60","49","1088","94"
"André","BRA","MF","Wolves","27.5","1623","89","439","1046","155","3","32","16","12","912","3764","1688","10","17","0","30","21","1093","11"
"Michail Antonio","JAM","FW","West Ham","9.3","296","3","26","124","151","36","27","9","13","173","1177","695","29","13","9","35","19","221","59"
"Antony","BRA","DF,MF","Manchester Utd","1.6","101","2","22","26","54","8","11","4","6","60","317","182","5","6","1","5","1","69","7"
"Julian Araujo","MEX","DF","Bournemouth","5.5","275","20","90","136","55","2","1","0","1","126","482","258","4","3","0","5","2","149","22"
"Cameron Archer","ENG","FW","Southampton","16.0","398","16","69","179","154","52","37","15","20","226","1182","564","22","10","14","40","26","274","66"
"Alphonse Areola","FRA","GK","West Ham","25.1","1049","833","1038","12","0","0","0","0","0","601","2480","1348","0","0","0","0","0","555","0"
"Joe Aribo","NGA","MF,DF","Southampton","22.4","1271","52","313","670","299","44","49","21","22","745","4068","2021","36","29","12","27","19","925","65"
"Adam Armstrong","ENG","FW,MF","Southampton","13.9","377","11","44","143","192","49","14","6","8","235","1324","599","25","13","6","11","18","286","79"
"Harrison Armstrong","ENG","MF","Everton","0.5","20","0","3","12","7","2","1","1","0","15","110","43","1","2","0","2","3","14","0"
"Kepa Arrizabalaga","ESP","GK","Bournemouth","31.0","1087","800","1057","29","1","1","1","1","0","621","3129","1797","0","0","0","0","0","486","0"
"Marco Asensio","ESP","MF","Aston Villa","8.3","386","6","38","158","200","30","19","12","5","242","1466","682","22","21","5","9","8","265","38"
"Brandon Austin","ENG","GK","Tottenham","1.0","36","30","36","0","0","0","0","0","0","22","104","46","0","0","0","0","0","16","0"
"Taiwo Awoniyi","NGA","FW","Nott'ham Forest","4.6","167","5","16","78","74","21","9","4","5","90","402","183","6","5","2","19","19","113","20"
"Yasin Ayari","SWE","MF","Brighton","21.8","1233","58","275","624","354","45","45","18","18","655","3244","1466","30","25","6","38","22","801","61"
"Jordan Ayew","GHA","FW,MF","Crystal Palace","0.2","12","0","0","7","5","1","0","0","0","6","25","12","0","0","0","0","1","9","1"
"Jordan Ayew","GHA","FW,MF","Leicester City","18.2","798","21","103","407","312","55","64","26","32","479","3374","1540","49","37","11","63","40","540","86"
"Benoît Badiashile","FRA","DF","Chelsea","3.7","336","31","138","186","13","0","1","0","1","177","660","340","3","5","0","1","0","247","2"
"Leon Bailey","JAM","FW,MF","Aston Villa","12.7","545","18","77","155","323","70","57","22","24","348","2582","1371","58","23","34","35","25","390","121"
"Carlos Baleba","CMR","MF","Brighton","29.6","1697","94","410","994","339","12","57","33","20","971","5692","2810","43","45","3","39","42","1035","29"
"Ross Barkley","ENG","MF","Aston Villa","6.5","464","17","75","275","121","19","16","12","4","277","1560","733","15","15","2","7","8","328","10"
"Harvey Barnes","ENG","FW","Newcastle Utd","19.5","810","17","97","257","462","128","64","24","33","561","4196","2467","93","48","47","33","23","647","192"
"Calvin Bassey","NGA","DF","Fulham","34.2","2463","324","1205","1151","132","19","33","15","11","1571","8212","4940","39","20","5","34","8","1716","15"
"Altay Bayındır","TUR","GK","Manchester Utd","4.0","168","145","166","2","0","0","0","0","0","110","432","196","0","0","0","0","0","103","0"
"Jan Bednarek","POL","DF","Southampton","28.1","2049","386","1091","924","41","15","3","3","0","1046","3845","1742","5","5","1","9","3","1307","2"
"Armel Bella Kotchap","GER","DF","Southampton","3.7","263","33","147","115","3","1","1","0","1","186","936","326","0","0","0","1","0","192","0"
"Jean-Ricner Bellegarde","FRA","MF,FW","Wolves","18.6","843","24","148","394","318","48","61","14","31","528","3269","1573","52","38","11","42","29","592","89"
"Rodrigo Bentancur","URU","MF","Tottenham","18.3","1302","76","323","774","216","24","19","9","8","764","3568","1502","28","24","5","19","20","848","34"
"Daniel Bentley","ENG","GK","Wolves","2.0","69","50","68","1","0","0","0","0","0","39","218","134","0","0","0","0","0","26","0"
"Sander Berge","NOR","MF","Fulham","24.7","1384","81","374","799","217","14","20","11","6","804","4467","2065","29","25","2","15","16","892","9"
"Lucas Bergvall","SWE","MF","Tottenham","13.5","885","36","188","478","232","22","45","21","20","531","3392","1634","33","21","4","20","19","586","31"
"Victor Bernth Kristiansen","DEN","DF","Leicester City","27.6","1614","115","577","722","329","17","18","8","9","816","3948","1866","40","26","5","15","13","887","78"
"Beto","GNB","FW","Everton","17.0","520","29","51","233","242","86","38","19","17","267","1242","478","15","12","9","71","37","378","77"
"Philip Billing","DEN","MF","Bournemouth","2.0","148","5","20","72","57","12","3","1","0","58","254","163","3","1","1","7","4","75","13"
"Yves Bissouma","MLI","MF","Tottenham","15.6","1039","71","304","584","159","5","22","7","15","610","3602","1611","15","17","0","25","15","704","3"
"Oscar Bobb","NOR","FW","Manchester City","0.2","15","0","2","6","7","0","2","2","0","10","67","32","1","0","0","0","0","13","1"
"Lamare Bogarde","NED","DF,MF","Aston Villa","5.3","325","16","95","191","40","4","4","2","1","173","1031","599","12","6","1","6","8","212","9"
"Willy Boly","CIV","DF","Nott'ham Forest","1.7","97","22","63","32","2","1","0","0","0","35","128","45","0","0","0","1","0","46","0"
"Sven Botman","NED","DF","Newcastle Utd","4.6","304","40","132","160","16","11","3","1","1","145","670","337","0","1","0","5","1","197","0"
"Jarrod Bowen","ENG","FW,MF","West Ham","33.0","1252","28","132","466","678","171","130","44","76","741","5306","2501","109","46","61","70","77","834","212"
"Conor Bradley","NIR","DF","Liverpool","8.4","663","32","197","299","178","43","25","10","12","369","2332","1356","35","22","9","13","5","411","39"
"Jarrad Branthwaite","ENG","DF","Everton","27.9","1520","211","783","676","69","28","6","3","2","747","4143","2515","10","14","2","8","4","894","2"
"James Bree","ENG","DF","Southampton","11.9","694","49","221","308","170","11","8","4","2","363","1586","808","13","12","1","9","5","443","43"
"Ben Brereton","CHI","FW","Southampton","5.0","206","4","19","76","112","20","4","1","2","136","791","394","12","13","4","9","4","171","42"
"Nathan Broadhead","WAL","MF,FW","Ipswich Town","7.8","317","7","41","161","126","21","34","17","15","174","1238","584","20","16","5","19","15","222","33"
"Armando Broja","ALB","FW","Everton","3.7","127","4","14","47","72","18","16","8","7","64","577","281","12","8","3","16","13","94","26"
"David Brooks","WAL","FW,MF","Bournemouth","10.7","545","15","59","207","289","39","34","11","20","342","2344","1115","35","25","10","30","14","375","83"
"Emi Buendía","ARG","MF,FW","Aston Villa","1.1","82","0","17","35","31","3","2","0","2","53","185","119","3","5","0","4","3","64","6"
"Santiago Bueno","URU","DF","Wolves","18.7","1025","170","522","485","21","6","4","0","4","555","2727","1430","1","2","0","2","2","660","1"
"Facundo Buonanotte","ARG","FW,MF","Leicester City","16.9","874","26","128","452","307","39","83","28","49","479","2997","1347","39","26","9","58","39","528","74"
"Cameron Burgess","AUS","DF","Ipswich Town","17.1","982","248","609","327","48","24","0","0","0","430","1965","1002","2","4","0","3","0","573","4"
"Dan Burn","ENG","DF","Newcastle Utd","37.0","2386","366","1305","959","130","52","4","3","1","1346","6322","2798","12","8","1","24","3","1615","14"
"Wes Burns","WAL","FW,DF","Ipswich Town","10.3","350","21","69","129","160","18","24","9","14","216","1458","696","38","13","10","17","13","220","65"
"Nathan Butler-Oyedeji","ENG","FW","Arsenal","0.1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Moisés Caicedo","ECU","MF,DF","Chelsea","37.2","2579","95","562","1570","476","15","64","29","22","1409","6882","3384","43","38","2","37","25","1780","37"
"Tom Cairney","SCO","MF","Fulham","7.0","683","12","123","347","223","18","13","5","4","456","2179","1047","18","17","4","6","4","553","33"
"Jens Cajuste","SWE","MF","Ipswich Town","21.8","1017","61","286","530","217","15","53","28","19","481","2609","1329","26","23","3","23","17","594","20"
"Riccardo Calafiori","ITA","DF","Arsenal","10.9","653","30","164","264","229","30","13","9","3","308","1655","889","22","15","3","12","5","394","29"
"Dominic Calvert-Lewin","ENG","FW","Everton","17.9","520","26","45","215","265","88","25","10","13","280","1445","463","23","8","17","77","33","417","112"
"Diego Carlos","BRA","DF","Aston Villa","9.2","674","86","331","330","15","6","2","2","0","419","2133","1162","3","3","0","1","2","481","0"
"Fabio Carvalho","POR","FW,MF","Brentford","5.1","247","4","44","91","113","22","14","2","10","137","698","356","9","3","0","13","8","145","23"
"Casemiro","BRA","MF","Manchester Utd","16.6","1250","75","374","633","251","43","6","3","3","660","2047","934","4","10","0","12","10","800","28"
"Kaelan Casey","ENG","DF","West Ham","0.0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matty Cash","POL","DF","Aston Villa","23.0","1186","90","432","463","304","42","40","19","16","595","3700","1864","48","38","4","20","10","654","90"
"Eiran Cashin","IRL","DF","Brighton","0.2","32","2","10","20","2","0","1","0","1","21","133","99","0","0","0","0","0","25","1"
"Timothy Castagne","BEL","DF","Fulham","18.3","1164","92","449","462","259","32","12","5","5","547","2191","1044","17","15","2","15","5","665","67"
"Trevoh Chalobah","ENG","DF","Crystal Palace","11.8","594","66","275","276","51","14","10","6","2","278","1213","661","11","9","1","4","7","317","6"
"Trevoh Chalobah","ENG","DF","Chelsea","10.1","774","73","331","389","59","12","5","2","1","426","1753","772","4","5","1","3","2","574","2"
"Conor Chaplin","ENG","MF,FW","Ipswich Town","9.5","390","7","74","183","138","18","8","4","4","179","910","467","13","9","0","12","5","264","23"
"Youssef Chermiti","POR","FW,MF","Everton","0.5","15","0","0","6","9","3","1","1","0","7","21","2","0","0","0","0","1","13","6"
"Federico Chiesa","ITA","FW","Liverpool","1.2","46","2","10","15","21","4","2","0","2","31","130","58","3","1","1","3","4","33","7"
"Ben Chilwell","ENG","DF","Crystal Palace","2.9","175","10","63","76","42","3","6","2","3","68","354","243","5","2","1","4","2","68","15"
"Chiquinho","POR","MF","Wolves","0.1","3","0","0","1","2","1","0","0","0","1","13","5","0","0","0","0","0","2","0"
"Hamza Choudhury","BAN","MF,DF","Leicester City","1.5","100","4","19","61","20","3","4","3","1","63","246","130","4","2","2","1","0","71","6"
"Ryan Christie","SCO","MF","Bournemouth","23.5","1376","74","256","773","372","46","48","23","22","726","3802","1773","34","40","8","44","25","777","44"
"Harry Clarke","ENG","DF","Ipswich Town","4.2","268","18","100","122","47","2","2","1","1","118","555","222","5","7","0","4","2","163","2"
"Jack Clarke","ENG","FW,MF","Ipswich Town","13.1","553","24","125","229","215","38","50","25","18","311","2356","1217","39","21","12","25","22","338","57"
"Nathaniel Clyne","ENG","DF,MF","Crystal Palace","5.4","273","18","111","125","37","3","1","0","1","158","651","314","6","2","3","5","2","178","8"
"Conor Coady","ENG","DF","Leicester City","19.0","1210","234","689","503","20","8","2","1","1","789","3430","1820","3","3","1","4","3","878","0"
"Séamus Coleman","IRL","DF","Everton","2.4","121","12","42","54","26","3","5","4","1","54","310","177","1","2","0","1","1","68","7"
"Nathan Collins","IRL","DF","Brentford","38.0","2435","385","1275","1002","169","69","12","6","5","1289","6994","4130","32","12","1","20","8","1490","18"
"Toby Collyer","ENG","MF","Manchester Utd","2.0","129","9","46","59","25","3","2","1","1","68","239","56","0","0","0","11","1","71","2"
"Levi Colwill","ENG","DF","Chelsea","35.0","2904","383","1363","1417","140","36","12","6","5","1621","7389","4028","14","12","1","14","8","2092","12"
"Lewis Cook","ENG","MF,DF","Bournemouth","33.1","1900","87","440","1010","470","20","20","13","7","825","4125","2159","33","29","4","31","18","965","52"
"Maxwel Cornet","CIV","FW","Southampton","0.8","34","1","8","14","13","2","1","0","1","16","73","26","1","0","1","3","0","23","5"
"Vladimír Coufal","CZE","DF","West Ham","11.9","736","61","262","318","159","14","15","5","7","298","1754","888","26","10","2","12","8","400","33"
"Woyo Coulibaly","MLI","DF","Leicester City","1.2","76","8","27","31","20","4","1","0","1","48","288","169","4","2","1","4","0","36","2"
"Aaron Cresswell","ENG","DF","West Ham","9.2","687","45","270","328","94","2","2","1","1","291","1102","526","6","8","0","4","0","437","4"
"Marc Cucurella","ESP","DF","Chelsea","33.2","2244","119","677","1045","532","75","15","4","9","944","4027","2336","35","22","2","28","7","1385","117"
"Jorge Cuenca","ESP","DF","Fulham","3.9","214","38","134","74","7","1","2","2","0","89","302","140","0","1","0","2","0","133","0"
"Matheus Cunha","BRA","MF,FW","Wolves","28.9","1561","23","181","695","733","133","137","61","61","904","6724","3336","112","95","41","80","55","1056","161"
"Patson Daka","ZAM","FW,MF","Leicester City","8.2","252","11","46","114","97","29","15","2","10","141","714","321","11","7","6","20","12","167","36"
"Diogo Dalot","POR","DF","Manchester Utd","31.3","1983","113","661","773","566","68","53","27","22","1126","4953","2699","62","37","16","38","21","1200","168"
"Mikkel Damsgaard","DEN","MF,FW","Brentford","32.3","1883","36","331","863","713","76","97","50","36","1076","5883","3075","73","54","9","63","47","1239","137"
"Danilo","BRA","MF,FW","Nott'ham Forest","3.1","150","8","54","85","13","0","6","3","3","54","237","61","2","0","0","6","0","87","1"
"Jayden Danns","ENG","MF","Liverpool","0.1","2","0","0","0","2","0","0","0","0","1","2","1","0","0","0","0","1","1","0"
"Kevin Danso","AUT","DF","Tottenham","9.4","676","108","394","257","29","8","3","2","1","448","2428","1195","11","5","1","8","3","475","1"
"Ben Davies","WAL","DF","Tottenham","14.8","1186","215","643","495","48","13","1","1","0","664","3255","1824","14","10","0","5","0","781","6"
"Leif Davis","ENG","DF","Ipswich Town","30.5","1562","117","534","520","527","42","38","13","18","708","3804","2073","52","31","11","37","16","835","137"
"Craig Dawson","ENG","DF","Wolves","10.8","671","130","396","249","28","14","5","1","2","390","1819","938","6","1","0","2","0","443","5"
"Kevin De Bruyne","BEL","MF,FW","Manchester City","18.9","1368","10","75","455","850","79","34","13","17","812","4001","2076","51","51","20","26","28","1021","150"
"Bobby De Cordova-Reid","JAM","FW","Leicester City","8.3","272","15","49","114","109","16","10","0","8","174","816","389","14","5","6","11","10","188","48"
"Liam Delap","ENG","FW","Ipswich Town","28.8","682","29","78","291","335","92","86","40","37","445","3283","1586","61","46","30","104","60","537","110"
"Sepp van den Berg","NED","DF","Brentford","28.7","1605","282","819","621","169","48","7","4","3","737","3762","1974","12","10","1","15","7","917","28"
"Justin Devenny","NIR","MF","Crystal Palace","5.6","279","8","53","149","83","8","4","2","2","134","701","333","5","5","1","17","3","167","13"
"Kiernan Dewsbury-Hall","ENG","MF,FW","Chelsea","2.9","184","5","30","96","58","6","4","2","2","95","483","221","5","1","0","1","3","138","11"
"Amad Diallo","CIV","MF,FW","Manchester Utd","21.1","1207","16","175","443","607","131","88","41","43","782","5295","2750","109","53","66","42","35","854","200"
"Rúben Dias","POR","DF","Manchester City","25.2","2499","216","837","1361","307","26","3","2","1","1775","10123","6017","43","65","1","8","1","2016","8"
"Luis Díaz","COL","FW","Liverpool","26.7","1184","17","90","409","706","167","116","53","51","780","5710","2960","108","55","56","55","49","933","293"
"Tyler Dibling","ENG","FW,MF","Southampton","20.8","868","27","129","390","369","41","110","45","43","558","4418","2215","69","50","26","44","55","651","96"
"Lucas Digne","FRA","DF","Aston Villa","26.1","1527","97","541","457","539","28","19","9","9","683","2983","1346","23","14","4","17","16","820","142"
"Issa Diop","FRA","DF","Fulham","14.9","903","125","498","381","26","13","2","1","1","533","2426","1216","6","2","0","9","2","617","3"
"Axel Disasi","FRA","DF","Aston Villa","5.4","334","32","130","178","29","6","15","9","6","207","1268","621","10","8","2","3","2","223","5"
"Axel Disasi","FRA","DF","Chelsea","4.0","323","17","110","175","40","2","1","1","0","196","953","519","6","3","0","1","3","242","2"
"Roman Dixon","ENG","DF","Everton","1.0","36","8","19","14","4","0","3","0","3","16","107","48","0","0","0","2","0","13","1"
"Nasser Djiga","BFA","DF","Wolves","0.7","58","2","17","39","2","0","0","0","0","32","108","37","0","1","0","1","2","35","2"
"Matt Doherty","IRL","DF","Wolves","23.4","1534","126","614","748","190","26","21","11","7","825","3666","2176","29","20","4","11","5","982","41"
"Jeremy Doku","BEL","FW,MF","Manchester City","16.8","1027","4","46","233","772","161","201","107","60","796","7581","4865","213","95","109","59","59","854","286"
"Nicolás Domínguez","ARG","MF,FW","Nott'ham Forest","21.8","1218","78","303","630","295","33","9","3","4","471","1863","924","16","14","2","23","12","676","33"
"Patrick Dorgu","DEN","DF","Manchester Utd","9.4","602","16","155","206","244","32","13","3","6","354","1933","1209","41","17","7","12","10","399","83"
"Alfie Dorrington","ENG","DF","Tottenham","0.2","16","0","11","5","0","0","0","0","0","12","61","26","0","0","0","0","0","13","0"
"Abdoulaye Doucouré","MLI","MF","Everton","28.5","1161","32","225","538","413","65","45","24","21","604","2952","1396","42","26","8","38","38","750","96"
"Cheick Doucouré","MLI","MF","Crystal Palace","5.0","263","11","56","165","45","4","5","2","2","133","581","280","2","7","1","4","7","160","7"
"Flynn Downes","ENG","MF","Southampton","23.9","1339","99","403","719","227","21","20","8","8","641","3520","1826","29","21","4","15","17","945","29"
"Tommy Doyle","ENG","MF","Wolves","5.4","463","22","128","258","80","4","9","5","1","260","1417","578","6","3","0","9","4","303","4"
"Radu Drăgușin","ROU","DF","Tottenham","13.9","961","148","510","430","30","12","2","0","0","623","3349","1666","7","3","0","8","2","669","2"
"Martin Dúbravka","SVK","GK","Newcastle Utd","10.0","350","262","337","14","0","0","0","0","0","202","1043","643","0","0","0","0","0","175","0"
"Lewis Dunk","ENG","DF","Brighton","23.1","2127","258","993","1031","113","21","1","0","1","1341","6155","3345","20","19","0","9","3","1556","3"
"Jáder Durán","COL","FW","Aston Villa","7.1","263","13","36","110","122","47","14","3","9","133","535","267","7","7","2","16","15","192","44"
"Claudio Echeverri","ARG","FW","Manchester City","0.1","3","0","0","2","1","0","0","0","0","3","28","12","0","0","0","0","1","3","1"
"Ederson","BRA","GK","Manchester City","25.8","975","689","962","13","0","0","0","0","0","654","3060","1981","0","0","0","1","0","616","0"
"George Edmundson","ENG","DF","Ipswich Town","0.0","3","1","3","0","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0"
"Odsonne Édouard","FRA","MF,FW","Crystal Palace","1.3","45","1","4","23","18","8","1","0","1","24","117","56","3","1","2","4","1","26","7"
"Odsonne Édouard","FRA","FW","Leicester City","0.3","20","1","2","7","11","6","2","1","1","11","25","2","0","0","1","7","2","13","2"
"Samuel Edozie","ENG","DF,FW","Southampton","0.7","43","0","0","7","36","10","4","2","2","34","336","197","6","2","4","4","0","39","23"
"Ronnie Edwards","ENG","DF","Southampton","0.1","6","3","4","2","0","0","0","0","0","3","10","0","0","0","0","0","0","5","0"
"Anthony Elanga","SWE","FW,MF","Nott'ham Forest","27.8","1115","29","136","319","679","110","83","25","39","600","4509","2544","102","45","48","79","43","764","229"
"Harvey Elliott","ENG","MF","Liverpool","4.1","339","5","32","164","144","21","9","4","4","188","872","408","10","11","5","5","4","253","30"
"Yunus Emre Konak","TUR","FW,MF","Brentford","0.5","53","0","9","27","17","0","2","0","2","17","67","41","1","1","1","3","3","28","2"
"Julio Enciso","PAR","MF,FW","Ipswich Town","9.7","406","5","52","202","167","23","66","30","28","205","1537","793","23","25","9","24","30","262","44"
"Julio Enciso","PAR","MF,FW","Brighton","3.3","202","2","17","72","116","20","21","10","8","114","678","386","11","10","4","7","9","141","17"
"Wataru Endo","JPN","MF,DF","Liverpool","3.0","237","12","65","124","49","3","2","2","0","110","397","169","1","3","1","6","3","163","8"
"Christian Eriksen","DEN","MF","Manchester Utd","11.8","850","26","173","397","284","17","4","0","4","473","1784","851","13","14","1","13","5","566","29"
"Romain Esse","ENG","MF","Crystal Palace","1.5","73","1","14","30","29","9","6","2","4","38","121","49","1","1","2","6","2","43","14"
"Pervis Estupiñán","ECU","DF","Brighton","26.7","1915","89","493","936","506","35","34","19","13","1023","5007","2689","59","61","9","34","27","1144","112"
"Evanilson","BRA","FW","Bournemouth","25.8","558","23","56","208","299","127","21","7","8","333","1822","861","29","18","15","38","24","400","99"
"Jake Evans",NA,"FW","Leicester City","0.3","5","0","1","3","1","0","0","0","0","1","1","0","0","0","0","0","1","3","1"
"Jonny Evans","NIR","DF","Manchester Utd","3.5","250","36","139","100","15","3","1","1","0","143","574","242","3","2","0","1","0","151","3"
"Eberechi Eze","ENG","MF,FW","Crystal Palace","28.8","1414","17","193","661","597","95","138","67","62","840","5063","2380","69","48","22","55","45","907","153"
"Łukasz Fabiański","POL","GK","West Ham","12.9","530","414","525","5","0","0","3","3","0","285","1485","890","0","0","0","0","0","248","0"
"Wout Faes","BEL","DF","Leicester City","31.3","1906","318","962","885","68","27","6","5","1","1107","5050","2928","12","13","2","17","6","1268","1"
"Abdul Fatawu Issahaku","GHA","FW","Leicester City","6.4","326","19","73","114","157","26","69","29","28","217","1869","1055","42","24","15","18","12","216","60"
"João Félix","POR","FW,MF","Chelsea","4.1","272","2","26","128","125","30","31","10","14","193","1248","712","21","13","5","6","4","218","30"
"Evan Ferguson","IRL","FW","West Ham","1.7","66","1","6","30","31","10","5","3","2","31","123","41","1","1","1","8","5","42","7"
"Evan Ferguson","IRL","FW","Brighton","2.7","88","7","13","50","26","9","2","1","1","42","183","56","2","1","2","5","6","52","9"
"Bruno Fernandes","POR","MF","Manchester Utd","33.5","2649","62","428","1263","983","80","67","28","33","1542","7244","3866","77","65","14","43","43","1853","129"
"Mateus Fernandes","POR","MF","Southampton","32.3","1760","72","385","867","547","49","109","49","49","897","5736","3143","76","70","9","58","36","1077","108"
"Enzo Fernández","ARG","MF","Chelsea","32.7","2210","37","346","1129","751","81","55","26","21","1211","5652","2735","60","55","9","29","28","1622","126"
"Mark Flekken","NED","GK","Brentford","36.4","1824","1436","1777","52","0","0","1","1","0","1122","5725","3253","0","0","0","3","0","1015","0"
"Phil Foden","ENG","MF,FW","Manchester City","19.7","1139","13","85","382","681","83","43","14","23","722","3720","1782","50","30","17","36","31","894","128"
"Wesley Fofana","FRA","DF","Chelsea","13.0","933","81","370","523","55","10","15","8","3","557","3149","1614","19","12","1","16","5","665","4"
"Carlos Forbs","POR","MF,FW","Wolves","2.7","121","3","23","39","60","13","12","7","5","75","468","321","10","3","8","7","4","85","28"
"Fraser Forster","ENG","GK","Tottenham","7.0","228","212","228","0","0","0","1","1","0","113","501","264","0","0","0","1","0","94","0"
"Matheus França","BRA","MF,FW","Crystal Palace","0.6","33","2","5","11","17","7","0","0","0","20","130","85","4","1","3","2","0","22","4"
"Ryan Fraser","SCO","FW,DF","Southampton","3.4","131","12","45","50","37","3","3","2","1","74","492","252","10","5","2","4","2","94","18"
"Tyler Fredricson","ENG","DF","Manchester Utd","1.8","141","11","64","68","9","1","1","1","0","86","279","114","2","1","0","2","0","95","0"
"Niclas Füllkrug","GER","FW","West Ham","8.8","277","19","27","142","110","40","8","1","6","123","435","215","7","4","2","18","7","205","31"
"Cody Gakpo","NED","FW","Liverpool","21.5","888","28","91","258","557","110","61","31","21","605","4320","2208","59","34","28","45","24","677","278"
"Idrissa Gana Gueye","SEN","MF","Everton","34.0","1801","72","432","1045","336","21","39","18","19","861","4046","1752","27","27","4","32","38","1048","27"
"Andrés García","ESP","DF,MF","Aston Villa","3.5","256","8","38","108","112","2","18","5","12","159","1262","673","26","13","2","10","6","168","28"
"Alejandro Garnacho","ARG","MF,FW","Manchester Utd","24.4","1159","13","130","364","683","176","89","26","55","840","6365","3245","141","72","67","64","48","888","290"
"James Garner","ENG","MF,DF","Everton","17.7","977","40","226","511","248","15","19","7","12","478","2187","842","15","19","2","16","9","550","30"
"Tyrique George","ENG","FW","Chelsea","2.0","70","1","11","21","39","9","5","3","2","46","373","209","9","1","5","3","0","53","22"
"Morgan Gibbs-White","ENG","MF","Nott'ham Forest","31.1","1627","35","185","830","637","92","77","31","35","923","5093","2566","69","52","13","70","44","1227","137"
"Billy Gilmour","SCO","MF","Brighton","1.1","73","2","14","46","13","0","2","1","1","44","210","117","2","0","0","0","0","58","2"
"Ben Godfrey","ENG","DF","Ipswich Town","1.8","68","6","26","33","9","1","0","0","0","33","202","79","2","2","0","2","1","42","1"
