"player","nation","pos","team","played_90s","touches","touches_def_pen","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen","take_ons_att","take_ons_succ","take_ons_tackled","carries","carry_dist","prog_carry_dist","prog_carries","carries_final_3rd","carries_att_pen","miscontrols","dispossessed","passes_rec","prog_passes_rec"
"Yordan Osorio","VEN","DF","Parma","1.9","141","12","73","63","5","1","0","0","0","88","358","180","1","0","0","1","0","89","0"
"Sebastian Otoa","DEN","DF","Genoa","2.0","88","16","56","31","1","0","0","0","0","49","147","36","0","0","0","2","1","48","0"
"Remi Oudin","FRA","MF,FW","Lecce","3.3","168","5","34","75","61","2","6","3","3","94","523","139","2","5","0","5","3","104","16"
"Cheick Oumar Conde","GUI","MF","Venezia","1.7","80","8","22","43","17","3","5","2","2","31","189","86","2","4","0","2","5","35","5"
"Daniel Oyegoke","ENG","DF","Hellas Verona","1.1","65","7","21","17","27","1","3","2","1","32","133","42","2","0","0","2","2","31","5"
"Daniele Padelli","ITA","GK","Udinese","1.0","22","17","22","0","0","0","0","0","0","10","35","19","0","0","0","0","0","13","0"
"Simone Pafundi","ITA","MF,DF","Udinese","1.3","95","1","8","47","41","1","7","1","2","56","381","131","3","9","0","2","1","57","7"
"Tomás Palacios","ARG","DF","Monza","5.0","417","58","229","178","16","1","9","8","1","293","1248","683","3","1","0","3","4","305","2"
"Tomás Palacios","ARG","DF","Inter","0.1","15","0","2","12","1","0","0","0","0","14","51","32","0","0","0","0","0","14","0"
"Alberto Paleari","ITA","GK","Torino","1.0","37","29","37","0","0","0","0","0","0","23","111","65","0","0","0","0","0","15","0"
"Marco Palestra","ITA","DF","Atalanta","2.5","137","4","30","54","53","12","12","4","5","89","644","411","13","6","6","3","1","94","14"
"Matteo Palma","GER","DF","Udinese","0.1","9","1","3","6","0","0","0","0","0","5","7","4","0","0","0","0","0","5","0"
"Leandro Paredes","ARG","MF","Roma","15.3","1381","78","357","827","208","5","3","3","0","826","4085","2020","17","16","0","6","1","996","14"
"Fabiano Parisi","ITA","DF,MF","Fiorentina","11.7","607","19","198","263","159","16","26","10","11","341","2113","1128","25","17","10","18","16","340","35"
"Mario Pašalić","CRO","MF","Atalanta","21.9","1580","46","278","923","391","70","18","5","12","1048","5542","2729","44","52","6","24","22","1212","68"
"Patric","ESP","DF","Lazio","6.7","449","38","203","230","19","4","0","0","0","276","1514","779","4","2","0","2","0","320","5"
"Rui Patrício","POR","GK","Atalanta","3.0","107","86","107","0","0","0","0","0","0","68","367","197","0","0","0","0","0","59","0"
"Benjamin Pavard","FRA","DF","Inter","17.6","1291","112","479","657","162","35","2","0","1","855","4903","2133","13","20","1","5","1","996","26"
"Strahinja Pavlović","SRB","DF","Milan","20.7","1589","143","758","747","97","18","12","4","4","1036","5862","3662","40","29","0","18","4","1147","10"
"Leonardo Pavoletti","ITA","FW,MF","Cagliari","4.9","225","4","15","107","104","28","1","0","0","86","189","63","1","2","0","18","2","168","26"
"Martín Payero","ARG","MF","Udinese","15.3","649","12","86","351","230","26","70","30","31","368","2284","1094","33","35","6","27","13","390","44"
"Nicolás Paz","ARG","MF,FW","Como","29.9","1683","21","225","821","667","85","135","69","58","1093","6153","2878","77","62","16","101","45","1265","171"
"Marcus Pedersen","NOR","DF","Torino","15.1","655","27","151","263","250","27","25","7","18","365","2329","1118","44","24","9","22","12","391","77"
"Pedro","ESP","FW,MF","Lazio","12.2","722","4","69","343","319","61","32","16","11","435","2960","1575","48","25","15","20","21","546","89"
"Pietro Pellegri","ITA","FW","Empoli","4.6","128","4","7","66","58","14","14","5","7","80","682","215","12","6","6","16","15","91","28"
"Lorenzo Pellegrini","ITA","MF","Roma","18.1","825","21","108","400","328","53","27","11","16","463","2834","1185","27","27","5","26","16","589","82"
"Luca Pellegrini","ITA","DF","Lazio","11.9","851","29","196","382","285","15","28","11","16","420","1901","1067","21","23","4","17","9","516","61"
"Mateo Pellegrino","ARG","FW","Parma","8.2","263","6","18","123","125","39","9","3","5","164","626","214","6","5","3","29","16","210","37"
"Andy Pelmard","FRA","DF","Lecce","1.4","48","5","23","20","7","0","1","1","0","19","72","24","1","1","0","0","0","19","0"
"Sergiu Perciun","MDA","FW,MF","Torino","1.7","72","3","11","24","37","6","5","2","2","48","221","87","2","0","2","6","1","52","12"
"Pedro Pereira","POR","DF","Monza","29.6","1409","109","508","596","311","33","25","14","11","798","3867","2063","52","37","7","25","18","872","107"
"Gastón Pereiro","URU","MF","Genoa","0.3","17","1","3","6","8","2","0","0","0","7","22","6","0","0","0","0","0","13","2"
"Kike Pérez","ESP","MF","Venezia","12.4","793","29","164","397","244","10","28","13","13","443","2470","1111","18","19","2","24","22","474","31"
"Nehuén Pérez","ARG","DF","Udinese","2.0","74","13","41","31","4","1","1","1","0","28","151","78","2","1","1","0","0","34","2"
"Simone Perilli","ITA","GK","Hellas Verona","2.0","56","42","55","1","0","0","0","0","0","22","192","165","0","0","0","0","0","14","0"
"Mattia Perin","ITA","GK","Juventus","5.0","185","161","185","0","0","0","0","0","0","123","703","460","0","0","0","0","0","110","0"
"Máximo Perrone","ARG","MF","Como","20.6","1502","62","372","932","205","15","8","3","5","934","3623","1660","16","18","1","20","16","1165","19"
"Matteo Pessina","ITA","MF","Monza","9.5","559","16","155","317","91","5","10","5","3","333","1750","735","8","10","1","9","13","397","20"
"Andrea Petagna","ITA","FW","Monza","3.7","100","1","15","51","34","12","4","2","2","66","327","96","2","3","1","9","4","74","17"
"Giuseppe Pezzella","ITA","DF,FW","Empoli","32.0","1579","88","448","630","521","33","51","17","24","673","4110","2076","77","33","12","46","32","778","143"
"Roberto Piccoli","ITA","FW","Cagliari","34.7","919","29","76","468","385","144","63","14","41","511","2406","774","30","27","14","114","46","666","165"
"Nicholas Pierini","ITA","MF","Venezia","0.9","28","1","6","10","12","3","1","0","1","16","79","21","1","1","0","2","3","18","4"
"Santiago Pierotti","ARG","FW","Lecce","21.5","730","45","148","322","279","81","49","22","26","353","2266","1103","43","25","21","60","33","406","85"
"Balthazar Pierret","FRA","MF","Lecce","19.1","1020","61","236","667","130","13","24","13","6","512","2404","1041","13","11","1","25","10","635","13"
"Andrea Pinamonti","ITA","FW","Genoa","31.7","952","32","77","531","349","116","23","11","12","491","1829","557","20","12","11","67","34","710","132"
"Nicola Pintus","ITA","DF","Cagliari","0.0","3","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"Niccolò Pisilli","ITA","MF","Roma","13.6","718","19","101","417","205","34","14","5","6","389","1888","921","22","16","6","27","15","507","44"
"Damián Pizarro","CHI","FW,MF","Udinese","0.2","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Semuel Pizzignacco","ITA","GK","Monza","8.2","340","277","336","3","1","0","0","0","0","210","883","622","0","0","0","0","0","185","0"
"Tommaso Pobega","ITA","MF","Bologna","13.1","608","24","106","368","141","20","8","3","4","293","1224","517","12","10","2","13","6","358","23"
"Joel Pohjanpalo","FIN","FW","Venezia","17.8","491","24","67","240","187","66","10","3","7","249","957","367","9","7","4","23","11","343","72"
"Matteo Politano","ITA","FW,MF","Napoli","31.2","1561","49","233","533","804","90","80","32","36","920","6414","3264","135","57","38","47","24","1137","278"
"Marin Pongračić","CRO","DF","Fiorentina","14.4","922","136","494","399","42","6","14","9","4","560","3544","1465","7","13","1","10","7","585","5"
"Stefan Posch","AUT","DF","Bologna","7.9","602","33","186","290","133","13","11","3","8","295","1505","581","11","8","1","9","12","348","35"
"Stefan Posch","AUT","DF","Atalanta","4.3","299","21","113","142","46","4","2","1","1","202","1298","728","5","7","0","3","5","199","5"
"Matteo Prati","ITA","MF","Cagliari","6.3","313","12","89","177","48","3","11","3","6","155","569","244","2","3","0","4","2","177","7"
"Ivan Provedel","ITA","GK","Lazio","29.0","1167","859","1135","33","0","0","0","0","0","744","3740","2307","0","0","0","0","0","749","0"
"Diego Pugno","ITA","FW","Juventus","0.1","4","0","0","2","3","0","1","0","1","2","5","3","0","1","0","0","0","1","0"
"Christian Pulisic","USA","FW,MF","Milan","27.5","1367","15","156","524","709","128","87","39","36","859","6117","3406","121","75","37","57","40","985","191"
"Ionuț Radu","ROU","GK","Venezia","15.0","587","499","586","1","0","0","1","1","0","370","1992","1207","0","0","0","1","0","302","0"
"Hamza Rafia","TUN","MF","Lecce","11.8","651","16","132","367","164","12","22","10","7","317","1511","662","13","16","2","21","20","411","32"
"Antonio Raimondo","ITA","FW,DF","Venezia","1.0","34","0","2","15","19","5","0","0","0","21","93","37","2","4","1","5","3","28","7"
"Ylber Ramadani","ALB","MF","Lecce","20.1","1038","64","346","587","123","8","24","13","11","537","2424","902","9","11","2","21","22","651","7"
"Luca Ranieri","ITA","DF","Fiorentina","33.1","2124","271","1078","979","81","16","19","9","9","1234","5928","3027","25","19","2","10","3","1404","11"
"Giacomo Raspadori","ITA","FW,MF","Napoli","12.3","549","10","62","246","247","54","14","9","3","263","1291","502","18","6","5","25","9","343","57"
"Federico Ravaglia","ITA","GK","Bologna","11.7","488","336","480","8","0","0","2","2","0","332","1759","960","0","0","0","0","0","311","0"
"Ante Rebić","CRO","FW,MF","Lecce","8.8","429","5","40","184","210","43","30","8","17","223","1133","449","17","9","7","39","14","312","63"
"Tijjani Reijnders","NED","MF","Milan","34.8","1863","41","280","950","651","82","71","36","29","1214","8113","4203","111","99","29","36","32","1390","121"
"Pepe Reina","ESP","GK","Como","11.5","381","307","380","1","0","0","1","0","0","245","1361","757","0","0","0","0","0","193","0"
"Devyne Rensch","NED","DF","Roma","5.2","319","17","86","157","76","8","3","0","1","161","564","226","2","6","1","5","2","203","25"
"Mateo Retegui","ITA","FW","Atalanta","26.5","874","19","30","378","474","173","30","12","12","557","2233","472","21","12","11","96","48","704","199"
"Samuele Ricci","ITA","MF","Torino","31.4","1589","78","337","975","294","19","22","6","13","960","5525","2648","43","38","6","35","18","1073","30"
"Amir Richardson","MAR","MF","Fiorentina","11.4","748","35","152","439","160","18","19","11","6","451","2321","1033","19","20","2","19","10","524","31"
"Sergi Roberto","ESP","MF","Como","7.7","582","19","114","348","123","9","10","3","6","340","1514","775","10","13","2","14","5","429","19"
"Alessio Romagnoli","ITA","DF","Lazio","29.7","2042","270","923","1045","83","41","3","1","2","1064","4251","1826","8","6","0","6","1","1371","4"
"Marten de Roon","NED","MF,DF","Atalanta","34.0","2538","89","615","1479","463","19","13","6","6","1475","6603","3579","37","51","1","24","9","1754","32"
