"player","nation","pos","team","played_90s","goals","shots","shots_ot","on_target_pct","shots_p90","shots_ot_p90","goals_per_shot","goals_per_sot","avg_shot_dist","free_kick_shots","pens","pens_taken"
"Kalvin Phillips","ENG","MF","Ipswich Town","13.7","0","11","2","18.2","0.80","0.15","0.00","0.00","24.3","3","0","0"
"Jaden Philogene Bidace","ENG","FW,MF","Aston Villa","3.7","0","7","0","0.0","1.90","0.00","0.00","","16.0","0","0","0"
"Jaden Philogene Bidace","ENG","FW,DF","Ipswich Town","5.3","2","12","5","41.7","2.28","0.95","0.17","0.40","16.4","0","0","0"
"Jordan Pickford","ENG","GK","Everton","38.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Ethan Pinnock","JAM","DF","Brentford","21.3","2","10","6","60.0","0.47","0.28","0.20","0.33","11.1","0","0","0"
"Daniel Podence","POR","MF,FW","Wolves","0.5","0","1","0","0.0","1.87","0.00","0.00","","24.4","0","0","0"
"Alfie Pond","ENG","DF","Wolves","0.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Nick Pope","ENG","GK","Newcastle Utd","28.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Pedro Porro","ESP","DF","Tottenham","29.0","2","39","8","20.5","1.34","0.28","0.05","0.25","23.0","4","0","0"
"Jarell Quansah","ENG","DF","Liverpool","5.5","0","1","0","0.0","0.18","0.00","0.00","","8.9","0","0","0"
"Hákon Rafn Valdimarsson","ISL","GK","Brentford","1.6","0","0","0","","0.00","0.00","","","","0","0","0"
"Aaron Ramsdale","ENG","GK","Southampton","30.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Jacob Ramsey","ENG","FW,MF","Aston Villa","18.0","1","19","4","21.1","1.05","0.22","0.05","0.25","16.8","0","0","0"
"Marcus Rashford","ENG","FW,MF","Manchester Utd","10.9","4","16","9","56.3","1.47","0.83","0.25","0.44","16.4","0","0","0"
"Marcus Rashford","ENG","FW","Aston Villa","4.9","2","18","5","27.8","3.65","1.01","0.06","0.20","19.4","2","1","1"
"David Raya","ESP","GK","Arsenal","38.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Harrison Reed","ENG","MF","Fulham","1.2","0","3","2","66.7","2.50","1.67","0.00","0.00","21.7","0","0","0"
"Remy Rees-Dottin","ENG","FW","Bournemouth","0.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Sergio Reguilón","ESP","DF","Tottenham","2.2","0","2","0","0.0","0.92","0.00","0.00","","13.3","1","0","0"
"Vitor Reis","BRA","DF","Manchester City","0.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Chadi Riad","MAR","DF","Crystal Palace","1.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Declan Rice","ENG","MF","Arsenal","31.4","4","48","14","29.2","1.53","0.45","0.08","0.29","19.6","2","0","0"
"Chris Richards","USA","DF","Crystal Palace","21.4","1","12","6","50.0","0.56","0.28","0.08","0.17","10.8","0","0","0"
"Richarlison","BRA","FW","Tottenham","5.6","4","17","7","41.2","3.04","1.25","0.24","0.57","9.1","0","0","0"
"Andrew Robertson","SCO","DF","Liverpool","27.6","0","15","2","13.3","0.54","0.07","0.00","0.00","14.9","0","0","0"
"Antonee Robinson","USA","DF","Fulham","35.2","0","16","2","12.5","0.45","0.06","0.00","0.00","22.1","0","0","0"
"Jay Robinson","ENG","MF,FW","Southampton","1.5","0","1","1","100.0","0.66","0.66","0.00","0.00","13.2","0","0","0"
"Rodri","ESP","MF","Manchester City","0.8","0","0","0","","0.00","0.00","","","","0","0","0"
"Guido Rodríguez","ARG","MF","West Ham","12.8","0","8","1","12.5","0.63","0.08","0.00","0.00","27.8","0","0","0"
"Mads Roerslev","DEN","DF","Brentford","12.2","0","5","2","40.0","0.41","0.16","0.00","0.00","20.8","0","0","0"
"Morgan Rogers","ENG","FW,MF","Aston Villa","34.6","8","55","20","36.4","1.59","0.58","0.15","0.40","15.9","0","0","0"
"Cristian Romero","ARG","DF","Tottenham","15.7","1","16","8","50.0","1.02","0.51","0.06","0.13","9.1","0","0","0"
"Georginio Rutter","FRA","MF,FW","Brighton","18.4","5","50","12","24.0","2.72","0.65","0.10","0.42","15.5","0","0","0"
"José Sá","POR","GK","Wolves","29.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Bukayo Saka","ENG","FW,MF","Arsenal","19.2","6","66","22","33.3","3.44","1.15","0.08","0.23","15.6","1","1","1"
"Mohamed Salah","EGY","FW","Liverpool","37.5","29","121","50","41.3","3.23","1.33","0.17","0.40","14.5","1","9","9"
"William Saliba","FRA","DF","Arsenal","33.8","2","6","2","33.3","0.18","0.06","0.33","1.00","5.4","0","0","0"
"Robert Sánchez","ESP","GK","Chelsea","32.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Jadon Sancho","ENG","FW","Chelsea","19.6","3","24","8","33.3","1.22","0.41","0.13","0.38","15.1","0","0","0"
"Ibrahim Sangaré","CIV","MF","Nott'ham Forest","6.6","0","1","1","100.0","0.15","0.15","0.00","0.00","32.0","0","0","0"
"Pablo Sarabia","ESP","MF,FW","Wolves","9.0","3","17","8","47.1","1.88","0.88","0.18","0.38","18.9","2","0","0"
"Jeremy Sarmiento","ECU","MF","Brighton","0.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Ismaila Sarr","SEN","MF","Crystal Palace","30.1","8","59","29","49.2","1.96","0.96","0.14","0.28","13.2","0","0","0"
"Sávio","BRA","FW,MF","Manchester City","19.6","1","55","21","38.2","2.80","1.07","0.02","0.05","17.6","1","0","0"
"Oliver Scarles","ENG","DF,FW","West Ham","7.4","0","3","0","0.0","0.41","0.00","0.00","","20.2","0","0","0"
"Dane Scarlett","ENG","FW,MF","Tottenham","0.4","0","1","1","100.0","2.65","2.65","0.00","0.00","13.9","0","0","0"
"Kevin Schade","GER","FW","Brentford","25.5","11","55","27","49.1","2.16","1.06","0.20","0.41","11.5","0","0","0"
"Fabian Schär","SUI","DF","Newcastle Utd","32.6","4","40","11","27.5","1.23","0.34","0.10","0.36","19.8","5","0","0"
"Jeffrey Schlupp","GHA","MF,DF","Crystal Palace","1.1","0","4","2","50.0","3.50","1.75","0.00","0.00","17.7","0","0","0"
"Alex Scott","ENG","MF","Bournemouth","8.4","0","15","6","40.0","1.79","0.72","0.00","0.00","21.1","1","0","0"
"Matz Sels","BEL","GK","Nott'ham Forest","38.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Nélson Semedo","POR","DF","Wolves","32.1","0","18","7","38.9","0.56","0.22","0.00","0.00","23.9","0","0","0"
"Antoine Semenyo","GHA","FW","Bournemouth","35.6","11","125","40","32.0","3.51","1.12","0.09","0.28","17.0","0","0","0"
"Marcos Senesi","ARG","DF","Bournemouth","12.3","0","3","0","0.0","0.24","0.00","0.00","","7.9","0","0","0"
"Ryan Sessegnon","ENG","FW,DF","Fulham","6.4","4","14","8","57.1","2.17","1.24","0.29","0.50","12.8","0","0","0"
"Luke Shaw","ENG","DF","Manchester Utd","3.9","0","1","0","0.0","0.26","0.00","0.00","","23.1","0","0","0"
"Zain Silcott-Duberry","MSR","FW","Bournemouth","0.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Bernardo Silva","POR","MF,FW","Manchester City","29.7","4","32","11","34.4","1.08","0.37","0.13","0.36","12.4","0","0","0"
"Jota Silva","POR","FW,MF","Nott'ham Forest","9.5","3","23","7","30.4","2.42","0.74","0.13","0.43","14.5","0","0","0"
"Eric da Silva Moreira","GER","MF,DF","Nott'ham Forest","0.3","0","0","0","","0.00","0.00","","","","0","0","0"
"Jahmai Simpson-Pusey","ENG","DF","Manchester City","1.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Luis Sinisterra","COL","FW,MF","Bournemouth","2.6","1","13","6","46.2","4.96","2.29","0.08","0.17","14.8","0","0","0"
"Oliver Skipp","ENG","MF","Leicester City","12.5","0","5","1","20.0","0.40","0.08","0.00","0.00","19.4","0","0","0"
"William Smallbone","IRL","MF","Southampton","7.7","1","7","1","14.3","0.91","0.13","0.14","1.00","17.6","1","0","0"
"Adam Smith","ENG","DF","Bournemouth","17.7","0","3","0","0.0","0.17","0.00","0.00","","16.9","0","0","0"
"Emile Smith Rowe","ENG","MF","Fulham","22.7","6","37","11","29.7","1.63","0.48","0.16","0.55","16.0","0","0","0"
"Dominic Solanke","ENG","FW","Tottenham","24.5","9","59","24","40.7","2.41","0.98","0.14","0.33","12.4","0","1","1"
"Carlos Soler","ESP","MF,FW","West Ham","15.7","1","25","8","32.0","1.60","0.51","0.04","0.13","19.0","1","0","0"
"Julio Soler","ARG","DF,FW","Bournemouth","0.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Ramón Sosa","PAR","FW,MF","Nott'ham Forest","3.3","1","11","5","45.5","3.36","1.53","0.09","0.20","18.6","0","0","0"
"Tomáš Souček","CZE","MF","West Ham","28.5","9","55","17","30.9","1.93","0.60","0.16","0.53","11.9","0","0","0"
"Boubakary Soumaré","FRA","MF","Leicester City","24.1","0","7","0","0.0","0.29","0.00","0.00","","23.4","0","0","0"
"Djed Spence","ENG","DF","Tottenham","19.9","1","10","3","30.0","0.50","0.15","0.10","0.33","23.9","0","0","0"
"Jay Stansfield","ENG","MF","Fulham","0.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Jason Steele","ENG","GK","Brighton","2.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Jack Stephens","ENG","DF","Southampton","15.4","1","4","2","50.0","0.26","0.13","0.25","0.50","11.0","0","0","0"
"Raheem Sterling","ENG","FW,MF","Arsenal","5.5","0","11","0","0.0","1.98","0.00","0.00","","15.1","2","0","0"
"Ross Stewart","SCO","FW","Southampton","4.3","1","9","2","22.2","2.08","0.46","0.11","0.50","10.8","0","0","0"
"Jakub Stolarczyk","POL","GK","Leicester City","10.0","0","0","0","","0.00","0.00","","","","0","0","0"
"John Stones","ENG","DF,MF","Manchester City","6.1","2","2","2","100.0","0.33","0.33","1.00","1.00","5.1","0","0","0"
"Jørgen Strand Larsen","NOR","FW","Wolves","28.7","14","54","33","61.1","1.88","1.15","0.26","0.42","11.3","0","0","0"
"Yukinari Sugawara","JPN","DF,MF","Southampton","17.3","1","14","5","35.7","0.81","0.29","0.07","0.20","20.2","1","0","0"
"Kamaldeen Sulemana","GHA","FW,MF","Southampton","15.6","1","29","8","27.6","1.86","0.51","0.03","0.13","18.6","0","0","0"
"Crysencio Summerville","NED","FW,MF","West Ham","8.7","1","14","4","28.6","1.60","0.46","0.07","0.25","13.4","0","0","0"
"Sammie Szmodics","IRL","FW,MF","Ipswich Town","11.0","4","21","12","57.1","1.91","1.09","0.19","0.33","14.0","0","0","0"
"Dominik Szoboszlai","HUN","MF","Liverpool","27.7","6","67","22","32.8","2.42","0.79","0.09","0.27","18.9","4","0","0"
"Matt Targett","ENG","DF","Newcastle Utd","0.2","0","0","0","","0.00","0.00","","","","0","0","0"
"James Tarkowski","ENG","DF","Everton","32.5","1","15","4","26.7","0.46","0.12","0.07","0.25","8.4","0","0","0"
"Marcus Tavernier","ENG","FW,MF","Bournemouth","21.5","3","57","17","29.8","2.65","0.79","0.05","0.18","21.1","4","0","0"
"Charlie Taylor","ENG","DF","Southampton","4.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Jack Taylor","IRL","MF","Ipswich Town","9.6","1","19","4","21.1","1.99","0.42","0.05","0.25","23.9","0","0","0"
"Mathys Tel","FRA","FW","Tottenham","10.1","2","22","8","36.4","2.17","0.79","0.05","0.13","16.0","1","1","1"
"Kenny Tete","NED","DF","Fulham","19.7","0","24","2","8.3","1.22","0.10","0.00","0.00","15.5","0","0","0"
"Thiago","BRA","FW,MF","Brentford","1.9","0","2","0","0.0","1.03","0.00","0.00","","14.8","0","0","0"
"Luke Thomas","ENG","DF","Leicester City","12.3","0","5","0","0.0","0.41","0.00","0.00","","16.8","0","0","0"
"Youri Tielemans","BEL","MF","Aston Villa","33.6","3","40","12","30.0","1.19","0.36","0.08","0.25","20.1","0","0","1"
"Kieran Tierney","SCO","DF,FW","Arsenal","2.9","1","2","1","50.0","0.69","0.35","0.50","1.00","4.1","0","0","0"
"Jurriën Timber","NED","DF","Arsenal","26.9","1","14","4","28.6","0.52","0.15","0.07","0.25","14.1","0","0","0"
"Jean-Clair Todibo","FRA","DF","West Ham","20.3","0","5","0","0.0","0.25","0.00","0.00","","12.8","0","0","0"
"Harry Toffolo","ENG","DF","Nott'ham Forest","1.5","0","1","0","0.0","0.66","0.00","0.00","","28.5","0","0","0"
"Takehiro Tomiyasu","JPN","DF","Arsenal","0.1","0","1","0","0.0","12.86","0.00","0.00","","1.2","0","0","0"
"Sandro Tonali","ITA","MF","Newcastle Utd","29.2","4","35","12","34.3","1.20","0.41","0.11","0.33","19.6","3","0","0"
"Pau Torres","ESP","DF","Aston Villa","22.4","0","8","2","25.0","0.36","0.09","0.00","0.00","11.7","0","0","0"
"Conor Townsend","ENG","DF","Ipswich Town","3.7","0","1","0","0.0","0.27","0.00","0.00","","16.7","0","0","0"
"Adama Traoré","ESP","FW,MF","Fulham","19.7","2","39","12","30.8","1.98","0.61","0.05","0.17","14.2","0","0","0"
"Boubacar Traoré","MLI","MF","Wolves","0.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Mark Travers","IRL","GK","Bournemouth","5.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Ryan Trevitt","ENG","MF","Brentford","0.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Kieran Trippier","ENG","DF","Newcastle Utd","14.5","0","4","0","0.0","0.28","0.00","0.00","","23.6","2","0","0"
"Leandro Trossard","BEL","FW","Arsenal","28.3","8","72","21","29.2","2.55","0.74","0.11","0.38","15.9","0","0","0"
"Kostas Tsimikas","GRE","DF","Liverpool","9.3","0","4","2","50.0","0.43","0.22","0.00","0.00","16.1","0","0","0"
"Axel Tuanzebe","COD","DF","Ipswich Town","19.0","0","4","0","0.0","0.21","0.00","0.00","","15.7","0","0","0"
"Destiny Udogie","ITA","DF","Tottenham","21.4","0","5","1","20.0","0.23","0.05","0.00","0.00","15.1","0","0","0"
"Manuel Ugarte Ribeiro","URU","MF","Manchester Utd","19.8","1","19","4","21.1","0.96","0.20","0.05","0.25","21.7","0","0","0"
"Lesley Ugochukwu","FRA","MF","Southampton","18.4","1","10","1","10.0","0.54","0.05","0.10","1.00","17.0","0","0","0"
"Enes Ünal","TUR","FW,MF","Bournemouth","3.8","2","20","7","35.0","5.22","1.83","0.10","0.29","14.6","3","0","0"
"Virgil van Dijk","NED","DF","Liverpool","37.0","3","27","8","29.6","0.73","0.22","0.11","0.38","13.1","1","0","0"
"Jamie Vardy","ENG","FW","Leicester City","31.4","9","56","23","41.1","1.79","0.73","0.14","0.35","12.1","1","1","2"
"Renato Veiga","POR","DF,MF","Chelsea","2.0","0","3","1","33.3","1.49","0.50","0.00","0.00","17.1","0","0","0"
"Joël Veltman","NED","DF","Brighton","18.9","0","6","1","16.7","0.32","0.05","0.00","0.00","19.7","0","0","0"
"Micky van de Ven","NED","DF","Tottenham","11.3","0","6","2","33.3","0.53","0.18","0.00","0.00","11.1","0","0","0"
"Bart Verbruggen","NED","GK","Brighton","36.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Jannik Vestergaard","DEN","DF","Leicester City","15.5","0","3","2","66.7","0.19","0.13","0.00","0.00","9.7","0","0","0"
"Guglielmo Vicario","ITA","GK","Tottenham","24.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Carlos Vinícius","BRA","MF,FW","Fulham","0.2","0","1","1","100.0","5.63","5.63","0.00","0.00","17.4","0","0","0"
"Kyle Walker","ENG","DF","Manchester City","10.8","0","5","2","40.0","0.46","0.19","0.00","0.00","27.7","0","0","0"
"Kyle Walker-Peters","ENG","DF","Southampton","32.4","0","20","6","30.0","0.62","0.19","0.00","0.00","18.3","0","0","0"
"Christian Walton","ENG","GK","Ipswich Town","7.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Aaron Wan-Bissaka","ENG","DF","West Ham","35.0","2","16","5","31.3","0.46","0.14","0.13","0.40","15.1","0","0","0"
"Danny Ward","WAL","GK","Leicester City","1.5","0","0","0","","0.00","0.00","","","","0","0","0"
"Joel Ward","ENG","DF","Crystal Palace","0.8","0","0","0","","0.00","0.00","","","","0","0","0"
"James Ward-Prowse","ENG","MF","West Ham","11.5","1","13","5","38.5","1.13","0.43","0.08","0.20","19.9","3","0","0"
"James Ward-Prowse","ENG","MF","Nott'ham Forest","4.4","0","2","1","50.0","0.45","0.23","0.00","0.00","29.0","1","0","0"
"Ollie Watkins","ENG","FW","Aston Villa","28.9","16","82","36","43.9","2.84","1.25","0.17","0.39","12.1","0","2","2"
"Adam Webster","ENG","DF","Brighton","9.9","0","5","1","20.0","0.51","0.10","0.00","0.00","10.8","0","0","0"
"Danny Welbeck","ENG","FW","Brighton","23.5","10","59","23","39.0","2.51","0.98","0.15","0.39","15.3","9","1","1"
"Welington","BRA","DF","Southampton","5.4","0","3","0","0.0","0.56","0.00","0.00","","31.3","0","0","0"
"Timo Werner","GER","FW,MF","Tottenham","5.7","0","8","3","37.5","1.40","0.52","0.00","0.00","18.2","0","0","0"
"Adam Wharton","ENG","MF","Crystal Palace","14.6","0","13","5","38.5","0.89","0.34","0.00","0.00","25.4","0","0","0"
"Ben White","ENG","DF","Arsenal","13.3","0","9","2","22.2","0.68","0.15","0.00","0.00","19.4","0","0","0"
"Mats Wieffer","NED","DF,MF","Brighton","11.3","1","9","4","44.4","0.80","0.35","0.11","0.25","13.2","0","0","0"
"Neco Williams","WAL","DF","Nott'ham Forest","28.8","1","37","7","18.9","1.28","0.24","0.03","0.14","20.2","1","0","0"
"Willian","BRA","FW,MF","Fulham","2.9","0","7","0","0.0","2.45","0.00","0.00","","22.1","0","0","0"
"Joe Willock","ENG","MF,FW","Newcastle Utd","12.1","0","18","3","16.7","1.49","0.25","0.00","0.00","15.1","0","0","0"
"Callum Wilson","ENG","FW","Newcastle Utd","4.1","0","6","1","16.7","1.46","0.24","0.00","0.00","15.4","0","0","0"
"Harry Wilson","WAL","FW,MF","Fulham","12.9","6","43","17","39.5","3.33","1.32","0.14","0.35","18.0","1","0","0"
"Harry Winks","ENG","MF","Leicester City","17.1","0","10","4","40.0","0.59","0.23","0.00","0.00","29.2","0","0","0"
"Ben Winterburn","ENG","MF,FW","Bournemouth","0.3","0","0","0","","0.00","0.00","","","","0","0","0"
"Yoane Wissa","COD","FW","Brentford","32.4","19","90","41","45.6","2.77","1.26","0.21","0.46","13.2","0","0","0"
"Chris Wood","NZL","FW","Nott'ham Forest","32.9","20","65","32","49.2","1.98","0.97","0.26","0.53","13.5","0","3","3"
"Nathan Wood-Gordon","ENG","DF","Southampton","8.6","0","2","0","0.0","0.23","0.00","0.00","","5.9","0","0","0"
"Luke Woolfenden","ENG","DF","Ipswich Town","13.2","0","1","0","0.0","0.08","0.00","0.00","","12.9","0","0","0"
"Yehor Yarmoliuk","UKR","MF","Brentford","16.1","0","9","2","22.2","0.56","0.12","0.00","0.00","15.9","0","0","0"
"Ryan Yates","ENG","MF","Nott'ham Forest","21.3","2","33","9","27.3","1.55","0.42","0.06","0.22","19.6","0","0","0"
"Leny Yoro","FRA","DF","Manchester Utd","12.9","0","5","1","20.0","0.39","0.08","0.00","0.00","8.6","0","0","0"
"Ashley Young","ENG","DF","Everton","20.8","1","6","3","50.0","0.29","0.14","0.17","0.33","24.5","3","0","0"
"Illia Zabarnyi","UKR","DF","Bournemouth","34.5","0","12","1","8.3","0.35","0.03","0.00","0.00","9.8","0","0","0"
"Oleksandr Zinchenko","UKR","DF,MF","Arsenal","5.9","0","10","0","0.0","1.71","0.00","0.00","","19.6","1","0","0"
"Joshua Zirkzee","NED","FW,MF","Manchester Utd","15.6","3","28","11","39.3","1.80","0.71","0.11","0.27","13.1","0","0","0"
"Martin Ødegaard","NOR","MF","Arsenal","25.8","3","48","15","31.3","1.86","0.58","0.04","0.13","19.2","3","1","1"
"Junior Adamu","AUT","FW","Freiburg","17.2","2","36","11","30.6","2.10","0.64","0.06","0.18","12.4","0","0","0"
"Karim Adeyemi","GER","FW,MF","Dortmund","15.9","7","46","18","39.1","2.89","1.13","0.15","0.39","17.6","0","0","0"
"Amine Adli","MAR","MF,FW","Leverkusen","8.5","2","20","7","35.0","2.35","0.82","0.10","0.29","13.1","0","0","0"
"Oladapo Afolayan","ENG","FW,MF","St. Pauli","18.2","3","38","13","34.2","2.09","0.71","0.08","0.23","20.4","0","0","0"
"Felix Agu","NGA","DF","Werder Bremen","19.5","3","9","4","44.4","0.46","0.21","0.33","0.75","13.3","0","0","0"
"Erik Ahlstrand","SWE","FW,MF","St. Pauli","0.5","0","0","0","","0.00","0.00","","","","0","0","0"
"Kevin Akpoguma","NGA","DF","Hoffenheim","24.7","0","5","1","20.0","0.20","0.04","0.00","0.00","31.0","0","0","0"
"Andreas Albers","DEN","FW","St. Pauli","0.7","1","3","1","33.3","4.35","1.45","0.33","1.00","11.9","0","0","0"
"Ben Alexander Voll","GER","GK","St. Pauli","1.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Skelly Alvero","FRA","MF","Werder Bremen","2.6","0","1","0","0.0","0.38","0.00","0.00","","14.8","0","0","0"
"Aurele Amenda","SUI","DF","Eint Frankfurt","1.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Nadiem Amiri","GER","MF","Mainz 05","27.5","7","60","24","40.0","2.18","0.87","0.08","0.21","24.7","10","2","2"
"Mohamed Amoura","ALG","FW","Wolfsburg","27.4","10","73","25","34.2","2.66","0.91","0.11","0.32","16.8","0","2","2"
"Robert Andrich","GER","MF,DF","Leverkusen","17.8","2","21","5","23.8","1.18","0.28","0.10","0.40","21.9","0","0","0"
"Waldemar Anton","GER","DF","Dortmund","21.7","2","19","3","15.8","0.88","0.14","0.11","0.67","13.5","0","0","0"
"Maximilian Arnold","GER","MF","Wolfsburg","26.2","3","27","12","44.4","1.03","0.46","0.11","0.25","28.9","9","0","0"
"Jann-Fiete Arp","GER","FW,MF","Holstein Kiel","7.9","2","20","9","45.0","2.52","1.14","0.05","0.11","21.3","3","1","2"
"Arthur","BRA","DF","Leverkusen","8.4","0","1","0","0.0","0.12","0.00","0.00","","15.8","0","0","0"
"Noah Atubolu","GER","GK","Freiburg","25.6","0","0","0","","0.00","0.00","","","","0","0","0"
"Ayman Azhil","MAR","MF","Dortmund","0.3","0","0","0","","0.00","0.00","","","","0","0","0"
"Adam Aznou","MAR","DF","Bayern Munich","0.2","0","0","0","","0.00","0.00","","","","0","0","0"
"Aliou Badara Baldé","GUI","MF,FW","Bochum","1.0","0","4","1","25.0","3.96","0.99","0.00","0.00","26.5","0","0","0"
"Ridle Baku","GER","FW,MF","Wolfsburg","13.0","2","18","6","33.3","1.38","0.46","0.11","0.33","19.9","0","0","0"
"Ridle Baku","GER","DF,MF","RB Leipzig","14.2","2","17","5","29.4","1.20","0.35","0.12","0.40","16.7","0","0","0"
"Samuel Bamba","GER","FW,MF","Bochum","0.3","0","2","1","50.0","6.67","3.33","0.00","0.00","22.0","1","0","0"
"Noahkai Banks","USA","DF","Augsburg","3.1","0","1","0","0.0","0.32","0.00","0.00","","10.2","0","0","0"
"Scott Banks","SCO","FW,MF","St. Pauli","1.3","0","3","0","0.0","2.33","0.00","0.00","","11.5","0","0","0"
"Aymen Barkok","MAR","MF","Mainz 05","0.8","0","0","0","","0.00","0.00","","","","0","0","0"
"Michy Batshuayi","BEL","FW","Eint Frankfurt","3.3","3","5","3","60.0","1.50","0.90","0.60","1.00","11.3","0","0","0"
"Maximilian Bauer","GER","DF","Augsburg","7.3","0","1","1","100.0","0.14","0.14","0.00","0.00","7.2","0","0","0"
"Oliver Baumann","GER","GK","Hoffenheim","28.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Christoph Baumgartner","AUT","MF","RB Leipzig","17.9","2","39","15","38.5","2.18","0.84","0.05","0.13","14.2","0","0","0"
"Ihlas Bebou","TOG","MF","Hoffenheim","0.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Adrian Beck","GER","MF,FW","Heidenheim","17.8","4","39","13","33.3","2.20","0.73","0.10","0.31","17.8","0","0","0"
"Timo Becker","GER","DF","Holstein Kiel","27.2","0","17","4","23.5","0.63","0.15","0.00","0.00","18.4","1","0","0"
"Hannes Behrens","GER","DF","Hoffenheim","0.3","0","0","0","","0.00","0.00","","","","0","0","0"
"Kevin Behrens","GER","FW","Wolfsburg","1.9","1","9","3","33.3","4.76","1.59","0.11","0.33","11.0","0","0","0"
"Maximilian Beier","GER","FW,MF","Dortmund","17.7","8","42","13","31.0","2.38","0.74","0.19","0.62","12.6","0","0","0"
"Stefan Bell","GER","DF","Mainz 05","16.0","0","12","3","25.0","0.75","0.19","0.00","0.00","11.3","0","0","0"
"Jeanuël Belocian","FRA","DF,MF","Leverkusen","0.8","0","0","0","","0.00","0.00","","","","0","0","0"
"László Bénes","SVK","MF,FW","Union Berlin","6.5","2","19","7","36.8","2.90","1.07","0.11","0.29","22.1","2","0","0"
"Ramy Bensebaini","ALG","DF","Dortmund","22.5","1","20","2","10.0","0.89","0.09","0.05","0.50","13.7","0","0","0"
"Mergim Berisha","GER","FW,MF","Hoffenheim","3.7","1","11","3","27.3","2.97","0.81","0.09","0.33","16.0","1","0","0"
"Mergim Berisha","GER","FW","Augsburg","0.4","0","3","1","33.3","6.75","2.25","0.00","0.00","15.9","0","0","0"
"Bernardo","BRA","DF","Bochum","19.8","0","8","2","25.0","0.40","0.10","0.00","0.00","8.6","0","0","0"
"Alexander Bernhardsson","SWE","FW,MF","Holstein Kiel","14.0","7","27","14","51.9","1.92","1.00","0.26","0.50","17.5","0","0","0"
"Matúš Bero","SVK","MF","Bochum","28.5","5","31","12","38.7","1.09","0.42","0.16","0.42","17.0","1","0","1"
"Jan-Niklas Beste","GER","FW,MF","Freiburg","2.4","0","6","2","33.3","2.55","0.85","0.00","0.00","17.6","1","0","0"
"El Bilal Touré","MLI","FW,MF","Stuttgart","4.0","2","14","4","28.6","3.54","1.01","0.14","0.50","15.2","0","0","0"
"Tom Bischof","GER","MF,FW","Hoffenheim","28.4","5","51","18","35.3","1.79","0.63","0.10","0.28","23.1","5","0","0"
"Leonardo Bittencourt","GER","MF","Werder Bremen","10.9","2","27","9","33.3","2.47","0.82","0.07","0.22","21.6","1","0","0"
"Myron Boadu","NED","FW","Bochum","11.6","9","27","13","48.1","2.33","1.12","0.30","0.62","11.7","0","1","1"
"Sacha Boey","FRA","DF","Bayern Munich","6.6","0","3","1","33.3","0.46","0.15","0.00","0.00","18.5","0","0","0"
"Victor Boniface","NGA","FW","Leverkusen","11.2","8","50","17","34.0","4.46","1.52","0.16","0.47","14.5","0","0","1"
"Sebastiaan Bornauw","BEL","DF","Wolfsburg","8.8","2","8","3","37.5","0.91","0.34","0.25","0.67","7.6","0","0","0"
"Carlo Boukhalfa","MAR","MF","St. Pauli","18.3","2","21","4","19.0","1.15","0.22","0.10","0.50","16.6","0","0","0"
"Julian Brandt","GER","MF","Dortmund","25.6","5","45","15","33.3","1.76","0.59","0.11","0.33","18.5","6","0","0"
"Tim Breithaupt","GER","MF","Augsburg","1.3","0","1","0","0.0","0.75","0.00","0.00","","7.9","0","0","0"
"Maximilian Breunig","GER","FW,MF","Heidenheim","3.9","2","10","2","20.0","2.57","0.51","0.10","0.50","15.2","0","1","1"
"Moritz Broschinski","GER","FW,MF","Bochum","15.4","1","38","11","28.9","2.46","0.71","0.03","0.09","17.1","0","0","0"
"Nathaniel Brown","GER","DF,MF","Eint Frankfurt","21.6","3","13","5","38.5","0.60","0.23","0.23","0.60","15.4","0","0","0"
