"player","nation","pos","team","played_90s","goals","shots","shots_ot","on_target_pct","shots_p90","shots_ot_p90","goals_per_shot","goals_per_sot","avg_shot_dist","free_kick_shots","pens","pens_taken"
"Joelinton","BRA","MF,FW","Newcastle Utd","26.6","4","45","13","28.9","1.69","0.49","0.09","0.31","14.0","0","0","0"
"Ben Johnson","ENG","DF,FW","Ipswich Town","15.0","1","7","3","42.9","0.47","0.20","0.14","0.33","12.6","0","0","0"
"Brennan Johnson","WAL","FW","Tottenham","24.2","11","54","20","37.0","2.23","0.83","0.20","0.55","11.4","0","0","0"
"Sam Johnstone","ENG","GK","Wolves","7.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Curtis Jones","ENG","MF,DF","Liverpool","19.0","3","34","13","38.2","1.79","0.68","0.09","0.23","17.1","0","0","0"
"Jorginho","ITA","MF","Arsenal","7.8","0","2","0","0.0","0.26","0.00","0.00","","23.2","0","0","0"
"Diogo Jota","POR","FW","Liverpool","13.3","6","51","13","25.5","3.84","0.98","0.12","0.46","12.4","0","0","0"
"James Justin","ENG","DF","Leicester City","32.4","2","25","6","24.0","0.77","0.19","0.08","0.33","16.2","2","0","0"
"Filip Jørgensen","DEN","GK","Chelsea","6.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Ferdi Kadioglu","TUR","DF,MF","Brighton","4.3","1","4","1","25.0","0.94","0.23","0.25","1.00","15.1","0","0","0"
"Daichi Kamada","JPN","MF","Crystal Palace","17.4","0","20","4","20.0","1.15","0.23","0.00","0.00","20.3","0","0","0"
"Boubacar Kamara","FRA","MF","Aston Villa","19.2","1","10","3","30.0","0.52","0.16","0.10","0.33","19.6","0","0","0"
"Joachim Kayi Sanda","FRA","DF","Southampton","0.2","0","0","0","","0.00","0.00","","","","0","0","0"
"Michael Kayode","ITA","DF","Brentford","5.9","0","2","0","0.0","0.34","0.00","0.00","","16.8","0","0","0"
"Michael Keane","ENG","DF","Everton","11.7","3","10","4","40.0","0.86","0.34","0.30","0.75","13.2","0","0","0"
"Caoimhín Kelleher","IRL","GK","Liverpool","10.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Lloyd Kelly","ENG","DF","Newcastle Utd","3.4","0","3","0","0.0","0.89","0.00","0.00","","7.3","0","0","0"
"Milos Kerkez","HUN","DF","Bournemouth","37.1","2","19","5","26.3","0.51","0.13","0.11","0.40","20.2","0","0","0"
"Bilal El Khannouss","MAR","MF,FW","Leicester City","24.2","2","30","7","23.3","1.24","0.29","0.07","0.29","22.0","0","0","0"
"Abdukodir Khusanov","UZB","DF","Manchester City","5.6","0","1","0","0.0","0.18","0.00","0.00","","23.9","0","0","0"
"Max Kilman","ENG","DF","West Ham","37.2","0","13","2","15.4","0.35","0.05","0.00","0.00","8.9","0","0","0"
"Joshua King","ENG","MF","Fulham","1.4","0","3","0","0.0","2.08","0.00","0.00","","9.0","0","0","0"
"Tom King","WAL","GK","Wolves","0.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Antonín Kinský","CZE","GK","Tottenham","6.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Jakub Kiwior","POL","DF","Arsenal","12.5","1","3","1","33.3","0.24","0.08","0.33","1.00","18.5","0","0","0"
"Justin Kluivert","NED","MF","Bournemouth","26.0","12","57","23","40.4","2.19","0.88","0.11","0.26","20.0","0","6","6"
"Ibrahima Konaté","FRA","DF","Liverpool","28.4","1","19","3","15.8","0.67","0.11","0.05","0.33","10.5","0","0","0"
"Ezri Konsa","ENG","DF","Aston Villa","32.6","2","11","5","45.5","0.34","0.15","0.18","0.40","8.8","0","0","0"
"Mateo Kovačić","CRO","MF","Manchester City","24.4","6","45","12","26.7","1.84","0.49","0.13","0.50","22.9","0","0","0"
"Caleb Kporha","ENG","DF","Crystal Palace","0.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Emil Krafth","SWE","DF","Newcastle Utd","3.8","0","1","0","0.0","0.26","0.00","0.00","","14.6","0","0","0"
"Mohammed Kudus","GHA","FW,MF","West Ham","28.8","5","75","21","28.0","2.61","0.73","0.07","0.24","16.0","0","0","0"
"Dejan Kulusevski","SWE","MF,FW","Tottenham","26.5","7","47","17","36.2","1.77","0.64","0.15","0.41","14.7","0","0","0"
"Maxence Lacroix","FRA","DF","Crystal Palace","34.6","1","30","5","16.7","0.87","0.14","0.03","0.20","10.8","0","0","0"
"Adam Lallana","ENG","MF","Southampton","4.0","0","3","0","0.0","0.75","0.00","0.00","","18.1","0","0","0"
"Tariq Lamptey","GHA","DF","Brighton","9.6","2","6","2","33.3","0.63","0.21","0.33","1.00","18.5","0","0","0"
"Will Lankshear","ENG","FW,MF","Tottenham","0.1","0","0","0","","0.00","0.00","","","","0","0","0"
"Roméo Lavia","BEL","MF","Chelsea","8.9","0","2","0","0.0","0.23","0.00","0.00","","18.8","0","0","0"
"Mario Lemina","GAB","MF,DF","Wolves","15.2","1","18","5","27.8","1.19","0.33","0.06","0.20","21.9","0","0","0"
"Bernd Leno","GER","GK","Fulham","38.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Jefferson Lerma","COL","MF,DF","Crystal Palace","25.3","0","26","8","30.8","1.03","0.32","0.00","0.00","19.8","0","0","0"
"Rico Lewis","ENG","DF,MF","Manchester City","21.0","1","10","2","20.0","0.48","0.10","0.10","0.50","15.8","0","0","0"
"Keane Lewis-Potter","ENG","DF,FW","Brentford","34.4","1","28","14","50.0","0.81","0.41","0.04","0.07","20.2","1","0","0"
"Myles Lewis-Skelly","ENG","DF","Arsenal","15.2","1","3","1","33.3","0.20","0.07","0.33","1.00","14.7","0","0","0"
"Matthijs de Ligt","NED","DF","Manchester Utd","23.6","2","18","9","50.0","0.76","0.38","0.11","0.22","7.9","0","0","0"
"Pedro Lima","BRA","DF","Wolves","0.8","0","1","1","100.0","1.29","1.29","0.00","0.00","22.5","0","0","0"
"Victor Lindelöf","SWE","DF","Manchester Utd","7.8","0","0","0","","0.00","0.00","","","","0","0","0"
"Jesper Lindstrøm","DEN","FW","Everton","13.8","0","28","10","35.7","2.03","0.73","0.00","0.00","21.0","6","0","0"
"Valentino Livramento","ENG","DF","Newcastle Utd","31.6","0","6","2","33.3","0.19","0.06","0.00","0.00","19.7","0","0","0"
"Sean Longstaff","ENG","MF","Newcastle Utd","8.9","0","6","1","16.7","0.68","0.11","0.00","0.00","13.5","0","0","0"
"Saša Lukić","SRB","MF","Fulham","26.0","0","18","2","11.1","0.69","0.08","0.00","0.00","20.2","0","0","0"
"Joe Lumley","ENG","GK","Southampton","3.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Massimo Luongo","AUS","MF","Ipswich Town","2.2","0","0","0","","0.00","0.00","","","","0","0","0"
"Ian Maatsen","NED","DF","Aston Villa","12.7","1","19","5","26.3","1.50","0.40","0.05","0.20","22.1","0","0","0"
"Alexis Mac Allister","ARG","MF","Liverpool","28.9","5","38","13","34.2","1.32","0.45","0.13","0.38","18.1","1","0","0"
"James Maddison","ENG","MF","Tottenham","20.1","9","39","17","43.6","1.94","0.85","0.23","0.53","16.7","6","0","0"
"Noni Madueke","ENG","FW","Chelsea","22.6","7","80","30","37.5","3.54","1.33","0.09","0.23","14.4","0","0","0"
"Gabriel Magalhães","BRA","DF","Arsenal","26.3","3","22","5","22.7","0.84","0.19","0.14","0.60","9.5","0","0","0"
"Edmond-Paris Maghoma","ENG","MF,FW","Brentford","1.3","0","1","0","0.0","0.76","0.00","0.00","","23.8","0","0","0"
"Harry Maguire","ENG","DF","Manchester Utd","19.5","1","15","6","40.0","0.77","0.31","0.07","0.17","8.2","0","0","0"
